QA_ID,Round 1,data_source,Ground_Truth_Answer
Merge_Q843,C,mmlu,C
Merge_Q844,A,mmlu,B
Merge_Q845,C,medxpert,C
Merge_Q846,C,medbullets,C
Merge_Q847,NONE,jama,B
Merge_Q848,D,jama,B
Merge_Q849,B,jama,B
Merge_Q850,D,medxpert,D
Merge_Q851,C,jama,B
Merge_Q852,C,medxpert,C
Merge_Q853,B,medxpert,C
Merge_Q854,C,medxpert,D
Merge_Q855,A,medxpert,B
Merge_Q856,B,jama,B
Merge_Q857,A,medxpert,B
Merge_Q858,B,jama,B
Merge_Q859,B,medxpert,B
Merge_Q860,D,medxpert,D
Merge_Q861,D,medxpert,A
Merge_Q862,D,medxpert,C
Merge_Q863,B,jama,B
Merge_Q864,C,jama,B
Merge_Q865,A,medxpert,B
Merge_Q866,B,medxpert,B
Merge_Q867,C,medxpert,D
Merge_Q868,A,medxpert,D
Merge_Q869,B,medxpert,D
Merge_Q870,A,medxpert,C
Merge_Q871,B,medxpert,C
Merge_Q872,B,jama,D
Merge_Q873,B,medbullets,C
Merge_Q874,A,medxpert,C
Merge_Q875,D,jama,D
Merge_Q876,A,mmlu,C
Merge_Q877,C,medxpert,B
Merge_Q878,B,medxpert,B
Merge_Q879,B,medxpert,B
Merge_Q880,C,jama,C
Merge_Q881,A,medxpert,C
Merge_Q882,C,medxpert,B
Merge_Q883,C,medxpert,D
Merge_Q884,B,medxpert,D
Merge_Q885,A,medxpert,A
Merge_Q886,D,medxpert,D
Merge_Q887,B,jama,C
Merge_Q888,D,medxpert,B
Merge_Q889,C,jama,D
Merge_Q890,C,medbullets,C
Merge_Q891,D,jama,B
Merge_Q892,D,mmlu,C
Merge_Q893,D,medxpert,C
Merge_Q894,D,medxpert,C
Merge_Q895,C,mmlu,C
Merge_Q896,A,jama,B
Merge_Q897,A,medbullets,B
Merge_Q898,B,jama,D
Merge_Q899,NONE,jama,C
Merge_Q900,C,jama,B
Merge_Q901,C,medxpert,C
Merge_Q902,B,medxpert,B
Merge_Q903,C,medxpert,C
Merge_Q904,C,medxpert,C
Merge_Q905,D,medxpert,D
Merge_Q906,C,medxpert,B
Merge_Q907,NONE,jama,A
Merge_Q908,C,medxpert,C
Merge_Q909,C,jama,C
Merge_Q910,C,medbullets,C
Merge_Q911,B,jama,B
Merge_Q912,C,mmlu,C
Merge_Q913,B,medxpert,C
Merge_Q914,B,medxpert,B
Merge_Q915,C,mmlu,A
Merge_Q916,A,jama,B
Merge_Q917,B,medbullets,B
Merge_Q918,D,jama,C
Merge_Q919,D,medbullets,D
Merge_Q920,C,medxpert,B
Merge_Q921,D,medxpert,D
Merge_Q922,C,medxpert,B
Merge_Q923,C,jama,C
Merge_Q924,C,jama,C
Merge_Q925,D,medxpert,C
Merge_Q926,B,medxpert,B
Merge_Q927,B,medxpert,C
Merge_Q928,B,medxpert,B
Merge_Q929,C,medxpert,D
Merge_Q930,A,medxpert,D
Merge_Q931,B,medxpert,B
Merge_Q932,C,jama,C
Merge_Q933,D,medxpert,A
Merge_Q934,C,medxpert,C
Merge_Q935,C,jama,B
Merge_Q936,A,medxpert,B
Merge_Q937,C,medxpert,B
Merge_Q938,D,medxpert,D
Merge_Q939,D,medxpert,C
Merge_Q940,C,jama,C
Merge_Q941,NONE,medxpert,D
Merge_Q942,C,medxpert,C
Merge_Q943,D,medxpert,D
Merge_Q944,NONE,medxpert,C
Merge_Q945,B,medxpert,D
Merge_Q946,C,medxpert,C
Merge_Q947,D,jama,B
Merge_Q948,A,medxpert,D
Merge_Q949,B,jama,C
Merge_Q950,B,medxpert,C
Merge_Q951,B,jama,B
Merge_Q952,D,medxpert,D
Merge_Q953,B,medxpert,A
Merge_Q954,C,medxpert,B
Merge_Q955,NONE,medxpert,B
Merge_Q956,A,jama,B
Merge_Q957,D,medbullets,D
Merge_Q958,A,jama,C
Merge_Q959,D,medxpert,D
Merge_Q960,D,mmlu,D
Merge_Q961,B,medxpert,D
Merge_Q962,A,medbullets,A
Merge_Q963,D,jama,A
Merge_Q964,A,jama,A
Merge_Q965,B,medbullets,B
Merge_Q966,C,medxpert,C
Merge_Q967,C,mmlu,D
Merge_Q968,C,medxpert,C
Merge_Q969,D,mmlu,D
Merge_Q970,D,medxpert,D
Merge_Q971,C,medxpert,B
Merge_Q972,C,jama,C
Merge_Q973,B,medxpert,B
Merge_Q974,A,medxpert,C
Merge_Q975,D,jama,D
Merge_Q976,C,medxpert,A
Merge_Q977,D,medxpert,D
Merge_Q978,A,medxpert,D
Merge_Q979,B,medxpert,B
Merge_Q980,NONE,jama,B
Merge_Q981,B,medxpert,D
Merge_Q982,B,medxpert,B
Merge_Q983,D,medxpert,D
Merge_Q984,A,medxpert,C
Merge_Q985,C,medxpert,C
Merge_Q986,B,medbullets,C
Merge_Q987,B,jama,B
Merge_Q988,B,medxpert,C
Merge_Q989,C,jama,C
Merge_Q990,C,medxpert,C
Merge_Q991,C,jama,C
Merge_Q992,C,medxpert,C
Merge_Q993,B,medxpert,B
Merge_Q994,B,medxpert,C
Merge_Q995,D,medxpert,B
Merge_Q996,B,jama,C
Merge_Q997,D,medxpert,D
Merge_Q998,B,jama,A
Merge_Q999,B,medxpert,D
Merge_Q1000,A,medxpert,B
Merge_Q1001,D,medxpert,B
Merge_Q1002,C,medxpert,D
Merge_Q1003,D,jama,B
Merge_Q1004,A,jama,C
Merge_Q1005,B,medxpert,C
Merge_Q1006,C,medxpert,C
Merge_Q1007,B,medxpert,B
Merge_Q1008,B,medxpert,B
Merge_Q1009,A,medxpert,B
Merge_Q1010,C,medxpert,C
Merge_Q1011,C,mmlu,D
Merge_Q1012,D,jama,C
Merge_Q1013,D,medbullets,B
Merge_Q1014,C,medbullets,C
Merge_Q1015,A,jama,B
Merge_Q1016,A,mmlu,C
Merge_Q1017,D,medxpert,D
Merge_Q1018,B,mmlu,B
Merge_Q1019,B,medxpert,B
Merge_Q1020,B,jama,C
Merge_Q1021,B,medxpert,D
Merge_Q1022,C,medxpert,C
Merge_Q1023,B,medxpert,A
Merge_Q1024,D,medxpert,D
Merge_Q1025,D,medxpert,D
Merge_Q1026,B,medxpert,B
Merge_Q1027,C,jama,B
Merge_Q1028,C,medbullets,C
Merge_Q1029,C,jama,B
Merge_Q1030,B,medxpert,B
Merge_Q1031,B,jama,B
Merge_Q1032,D,medxpert,C
Merge_Q1033,C,medxpert,C
Merge_Q1034,B,medxpert,B
Merge_Q1035,B,medxpert,C
Merge_Q1036,C,jama,B
Merge_Q1037,C,medxpert,A
Merge_Q1038,C,jama,D
Merge_Q1039,D,medxpert,A
Merge_Q1040,C,medxpert,C
Merge_Q1041,C,medxpert,C
Merge_Q1042,B,medxpert,B
Merge_Q1043,B,jama,A
Merge_Q1044,D,jama,C
Merge_Q1045,D,medxpert,A
Merge_Q1046,NONE,medxpert,C
Merge_Q1047,D,medxpert,D
Merge_Q1048,C,medxpert,B
Merge_Q1049,C,medxpert,B
Merge_Q1050,B,medxpert,C
Merge_Q1051,A,mmlu,A
Merge_Q1052,C,jama,C
Merge_Q1053,B,medxpert,A
Merge_Q1054,D,medbullets,D
Merge_Q1055,A,jama,A
Merge_Q1056,C,medxpert,A
Merge_Q1057,B,medxpert,D
Merge_Q1058,B,medxpert,D
Merge_Q1059,B,medxpert,C
Merge_Q1060,C,jama,C
Merge_Q1061,A,medbullets,A
Merge_Q1062,D,medxpert,A
Merge_Q1063,A,mmlu,B
Merge_Q1064,NONE,mmlu,A
Merge_Q1065,C,medxpert,A
Merge_Q1066,B,medbullets,A
Merge_Q1067,B,jama,D
Merge_Q1068,B,medbullets,B
Merge_Q1069,C,jama,B
Merge_Q1070,B,medxpert,B
Merge_Q1071,D,jama,D
Merge_Q1072,A,medxpert,A
Merge_Q1073,A,medxpert,C
Merge_Q1074,C,medxpert,A
Merge_Q1075,A,medxpert,A
Merge_Q1076,B,jama,B
Merge_Q1077,NONE,medxpert,A
Merge_Q1078,A,jama,D
Merge_Q1079,D,medxpert,B
Merge_Q1080,D,mmlu,C
Merge_Q1081,D,medxpert,D
Merge_Q1082,A,medxpert,C
Merge_Q1083,A,jama,C
Merge_Q1084,D,jama,D
Merge_Q1085,C,medbullets,C
Merge_Q1086,NONE,medxpert,C
Merge_Q1087,C,medxpert,C
Merge_Q1088,D,medxpert,D
Merge_Q1089,B,medxpert,B
Merge_Q1090,D,medxpert,D
Merge_Q1091,B,medxpert,B
Merge_Q1092,C,jama,C
Merge_Q1093,B,medxpert,C
Merge_Q1094,C,medxpert,C
Merge_Q1095,D,jama,D
Merge_Q1096,C,medxpert,C
Merge_Q1097,A,medxpert,A
Merge_Q1098,B,medxpert,A
Merge_Q1099,A,medxpert,A
Merge_Q1100,C,medxpert,D
Merge_Q1101,C,medxpert,C
Merge_Q1102,C,medxpert,B
Merge_Q1103,D,jama,D
Merge_Q1104,D,jama,D
Merge_Q1105,B,medxpert,B
Merge_Q1106,B,medxpert,D
Merge_Q1107,B,medxpert,C
Merge_Q1108,C,medxpert,C
Merge_Q1109,D,mmlu,A
Merge_Q1110,D,medxpert,D
Merge_Q1111,A,medxpert,A
Merge_Q1112,A,jama,B
Merge_Q1113,B,medxpert,A
Merge_Q1114,C,medxpert,C
Merge_Q1115,D,jama,D
Merge_Q1116,D,medxpert,D
Merge_Q1117,D,medxpert,D
Merge_Q1118,NONE,medxpert,C
Merge_Q1119,C,medxpert,B
Merge_Q1120,B,jama,B
Merge_Q1121,B,medxpert,B
Merge_Q1122,A,medxpert,A
Merge_Q1123,B,medxpert,D
Merge_Q1124,C,medxpert,A
Merge_Q1125,A,medxpert,A
Merge_Q1126,B,medxpert,A
Merge_Q1127,A,jama,B
Merge_Q1128,NONE,medxpert,D
Merge_Q1129,A,jama,A
Merge_Q1130,A,medbullets,C
Merge_Q1131,B,jama,B
Merge_Q1132,B,mmlu,B
Merge_Q1133,C,medxpert,C
Merge_Q1134,B,medxpert,B
Merge_Q1135,B,mmlu,B
Merge_Q1136,D,jama,D
Merge_Q1137,B,jama,C
Merge_Q1138,B,jama,B
Merge_Q1139,C,medbullets,C
Merge_Q1140,NONE,mmlu,C
Merge_Q1141,C,medxpert,C
Merge_Q1142,A,medbullets,A
Merge_Q1143,NONE,jama,D
Merge_Q1144,D,jama,D
Merge_Q1145,A,medbullets,A
Merge_Q1146,NONE,medxpert,B
Merge_Q1147,C,mmlu,C
Merge_Q1148,A,medxpert,A
Merge_Q1149,D,mmlu,D
Merge_Q1150,B,medxpert,B
Merge_Q1151,A,medxpert,A
Merge_Q1152,D,jama,D
Merge_Q1153,B,medxpert,B
Merge_Q1154,A,medxpert,A
Merge_Q1155,B,jama,B
Merge_Q1156,NONE,medxpert,B
Merge_Q1157,D,medxpert,A
Merge_Q1158,NONE,medxpert,C
Merge_Q1159,A,medxpert,A
Merge_Q1160,A,jama,C
Merge_Q1161,A,medxpert,B
Merge_Q1162,C,medxpert,D
Merge_Q1163,D,medxpert,D
Merge_Q1164,B,medxpert,B
Merge_Q1165,A,medxpert,A
Merge_Q1166,B,medxpert,A
Merge_Q1167,B,jama,D
Merge_Q1168,C,medxpert,B
Merge_Q1169,B,jama,B
Merge_Q1170,C,medbullets,C
Merge_Q1171,NONE,jama,C
Merge_Q1172,NONE,medxpert,C
Merge_Q1173,D,medxpert,B
Merge_Q1174,D,medxpert,D
Merge_Q1175,C,medxpert,C
Merge_Q1176,D,jama,A
Merge_Q1177,C,medxpert,D
Merge_Q1178,C,jama,C
Merge_Q1179,A,medxpert,C
Merge_Q1180,NONE,medxpert,D
Merge_Q1181,B,medxpert,B
Merge_Q1182,D,medxpert,D
Merge_Q1183,C,jama,C
Merge_Q1184,A,jama,C
Merge_Q1185,B,medxpert,B
Merge_Q1186,C,medxpert,B
Merge_Q1187,C,medxpert,C
Merge_Q1188,C,medxpert,C
Merge_Q1189,D,medxpert,D
Merge_Q1190,C,medxpert,B
Merge_Q1191,D,mmlu,D
Merge_Q1192,D,jama,C
Merge_Q1193,C,medbullets,B
Merge_Q1194,C,medbullets,C
Merge_Q1195,D,jama,D
Merge_Q1196,NONE,mmlu,B
Merge_Q1197,B,medxpert,B
Merge_Q1198,C,mmlu,C
Merge_Q1199,D,medxpert,D
Merge_Q1200,NONE,medxpert,D
Merge_Q1201,C,medxpert,C
Merge_Q1202,B,jama,B
Merge_Q1203,D,medxpert,D
Merge_Q1204,D,medxpert,D
Merge_Q1205,C,jama,D
Merge_Q1206,A,medxpert,A
Merge_Q1207,A,medxpert,A
Merge_Q1208,B,medxpert,B
Merge_Q1209,B,medxpert,A
Merge_Q1210,B,medxpert,B
Merge_Q1211,A,medxpert,A
Merge_Q1212,D,medxpert,B
Merge_Q1213,A,jama,A
Merge_Q1214,A,jama,A
Merge_Q1215,B,medxpert,B
Merge_Q1216,B,medxpert,B
Merge_Q1217,B,medxpert,B
Merge_Q1218,A,medxpert,A
Merge_Q1219,C,medxpert,A
Merge_Q1220,B,medbullets,B
Merge_Q1221,C,jama,A
Merge_Q1222,C,mmlu,B
Merge_Q1223,A,medxpert,B
Merge_Q1224,C,medxpert,C
Merge_Q1225,D,mmlu,D
Merge_Q1226,B,jama,B
Merge_Q1227,B,medbullets,B
Merge_Q1228,C,jama,C
Merge_Q1229,D,medbullets,C
Merge_Q1230,B,jama,B
Merge_Q1231,A,medxpert,A
Merge_Q1232,D,medxpert,D
Merge_Q1233,A,medxpert,A
Merge_Q1234,D,medxpert,A
Merge_Q1235,B,medxpert,C
Merge_Q1236,C,medxpert,D
Merge_Q1237,NONE,jama,D
Merge_Q1238,NONE,medxpert,B
Merge_Q1239,A,jama,A
Merge_Q1240,C,medxpert,C
Merge_Q1241,C,medxpert,C
Merge_Q1242,D,jama,D
Merge_Q1243,D,medxpert,D
Merge_Q1244,B,medxpert,B
Merge_Q1245,B,jama,B
Merge_Q1246,NONE,medxpert,C
Merge_Q1247,D,medxpert,D
Merge_Q1248,C,medxpert,C
Merge_Q1249,D,medxpert,C
Merge_Q1250,D,mmlu,D
Merge_Q1251,D,medxpert,D
Merge_Q1252,C,medbullets,C
Merge_Q1253,A,jama,A
Merge_Q1254,B,jama,B
Merge_Q1255,A,medbullets,D
Merge_Q1256,C,medxpert,C
Merge_Q1257,D,mmlu,D
Merge_Q1258,D,medxpert,C
Merge_Q1259,B,mmlu,B
Merge_Q1260,D,medxpert,D
Merge_Q1261,C,jama,A
Merge_Q1262,A,medxpert,C
Merge_Q1263,D,medxpert,D
Merge_Q1264,NONE,medxpert,A
Merge_Q1265,B,medxpert,C
Merge_Q1266,C,jama,A
Merge_Q1267,C,medbullets,C
Merge_Q1268,D,jama,D
Merge_Q1269,A,medxpert,A
Merge_Q1270,A,jama,A
Merge_Q1271,D,medxpert,C
Merge_Q1272,C,medxpert,B
Merge_Q1273,A,medxpert,A
Merge_Q1274,C,medxpert,C
Merge_Q1275,NONE,medxpert,D
Merge_Q1276,D,medxpert,B
Merge_Q1277,A,jama,A
Merge_Q1278,A,medxpert,A
Merge_Q1279,NONE,jama,D
Merge_Q1280,A,medxpert,A
Merge_Q1281,D,mmlu,A
Merge_Q1282,B,jama,B
Merge_Q1283,B,medbullets,B
Merge_Q1284,C,medbullets,A
Merge_Q1285,B,jama,C
Merge_Q1286,C,mmlu,A
Merge_Q1287,B,medxpert,B
Merge_Q1288,NONE,mmlu,D
Merge_Q1289,B,medxpert,B
Merge_Q1290,D,medxpert,C
Merge_Q1291,D,medxpert,D
Merge_Q1292,B,medxpert,B
Merge_Q1293,C,jama,C
Merge_Q1294,D,jama,C
Merge_Q1295,A,medxpert,D
Merge_Q1296,D,medxpert,A
Merge_Q1297,C,medxpert,C
Merge_Q1298,C,medxpert,C
Merge_Q1299,D,medxpert,D
Merge_Q1300,B,medxpert,A
Merge_Q1301,B,mmlu,B
Merge_Q1302,D,jama,B
Merge_Q1303,D,medbullets,A
Merge_Q1304,C,medbullets,D
Merge_Q1305,C,jama,A
Merge_Q1306,C,mmlu,C
Merge_Q1307,B,medxpert,B
Merge_Q1308,C,mmlu,A
Merge_Q1309,NONE,medxpert,A
Merge_Q1310,A,medxpert,A
Merge_Q1311,A,medxpert,D
Merge_Q1312,C,medxpert,C
Merge_Q1313,B,jama,C
Merge_Q1314,C,jama,C
Merge_Q1315,A,medxpert,B
Merge_Q1316,B,medxpert,B
Merge_Q1317,B,medxpert,A
Merge_Q1318,A,medxpert,A
Merge_Q1319,B,medxpert,B
Merge_Q1320,D,medxpert,D
Merge_Q1321,A,jama,A
Merge_Q1322,A,medxpert,A
Merge_Q1323,A,medxpert,A
Merge_Q1324,B,medxpert,B
Merge_Q1325,A,medxpert,A
Merge_Q1326,NONE,jama,D
Merge_Q1327,D,medxpert,A
Merge_Q1328,C,jama,C
Merge_Q1329,NONE,medxpert,A
Merge_Q1330,NONE,jama,A
Merge_Q1331,D,medxpert,B
Merge_Q1332,C,medxpert,C
Merge_Q1333,NONE,medxpert,E
Merge_Q1334,NONE,medxpert,E
Merge_Q1335,NONE,medxpert,C
Merge_Q1336,NONE,medxpert,I
Merge_Q1337,NONE,jama,J
Merge_Q1338,NONE,medxpert,C
Merge_Q1339,NONE,jama,H
Merge_Q1340,NONE,medxpert,F
Merge_Q1341,NONE,medxpert,H
Merge_Q1342,NONE,jama,B
Merge_Q1343,NONE,medbullets,D
Merge_Q1344,NONE,medxpert,E
Merge_Q1345,NONE,jama,B
Merge_Q1346,NONE,mmlu,I
Merge_Q1347,NONE,medxpert,D
Merge_Q1348,NONE,medxpert,G
Merge_Q1349,NONE,medxpert,A
Merge_Q1350,NONE,medxpert,B
Merge_Q1351,NONE,medxpert,G
Merge_Q1352,NONE,medxpert,I
Merge_Q1353,NONE,jama,J
Merge_Q1354,NONE,jama,E
Merge_Q1355,B,medxpert,E
Merge_Q1356,NONE,medxpert,C
Merge_Q1357,NONE,medxpert,G
Merge_Q1358,D,medxpert,D
Merge_Q1359,NONE,medxpert,A
Merge_Q1360,NONE,medxpert,C
Merge_Q1361,NONE,jama,E
Merge_Q1362,NONE,medxpert,J
Merge_Q1363,NONE,medxpert,I
Merge_Q1364,NONE,medxpert,D
Merge_Q1365,NONE,medxpert,F
Merge_Q1366,NONE,jama,G
Merge_Q1367,NONE,medxpert,G
Merge_Q1368,NONE,jama,J
Merge_Q1369,NONE,medxpert,D
Merge_Q1370,NONE,jama,G
Merge_Q1371,NONE,medbullets,B
Merge_Q1372,NONE,medxpert,H
Merge_Q1373,NONE,mmlu,A
Merge_Q1374,NONE,mmlu,J
Merge_Q1375,NONE,medxpert,C
Merge_Q1376,J,medbullets,C
Merge_Q1377,NONE,jama,G
Merge_Q1378,NONE,jama,A
Merge_Q1379,NONE,jama,E
Merge_Q1380,NONE,medxpert,J
Merge_Q1381,NONE,medxpert,D
Merge_Q1382,NONE,jama,G
Merge_Q1383,NONE,medxpert,B
Merge_Q1384,NONE,medxpert,F
Merge_Q1385,NONE,jama,D
Merge_Q1386,NONE,medxpert,E
Merge_Q1387,NONE,medxpert,G
Merge_Q1388,NONE,medxpert,J
Merge_Q1389,NONE,medxpert,B
Merge_Q1390,NONE,medxpert,I
Merge_Q1391,NONE,medxpert,A
Merge_Q1392,NONE,medbullets,G
Merge_Q1393,E,jama,J
Merge_Q1394,NONE,jama,D
Merge_Q1395,NONE,medxpert,A
Merge_Q1396,NONE,medxpert,F
Merge_Q1397,NONE,medxpert,J
Merge_Q1398,NONE,medxpert,C
Merge_Q1399,NONE,medxpert,J
Merge_Q1400,NONE,medbullets,A
Merge_Q1401,NONE,jama,A
Merge_Q1402,NONE,mmlu,H
Merge_Q1403,NONE,medxpert,J
Merge_Q1404,B,medxpert,G
Merge_Q1405,NONE,mmlu,J
Merge_Q1406,NONE,jama,B
Merge_Q1407,NONE,medbullets,C
Merge_Q1408,NONE,jama,A
Merge_Q1409,NONE,medbullets,F
Merge_Q1410,NONE,jama,D
Merge_Q1411,NONE,medxpert,H
Merge_Q1412,NONE,medxpert,B
Merge_Q1413,NONE,medxpert,I
Merge_Q1414,NONE,medxpert,F
Merge_Q1415,NONE,medxpert,B
Merge_Q1416,NONE,medxpert,I
Merge_Q1417,NONE,jama,G
Merge_Q1418,NONE,medxpert,J
Merge_Q1419,NONE,jama,A
Merge_Q1420,NONE,medxpert,H
Merge_Q1421,NONE,medxpert,C
Merge_Q1422,NONE,jama,A
Merge_Q1423,NONE,medxpert,G
Merge_Q1424,NONE,medxpert,A
Merge_Q1425,NONE,jama,G
Merge_Q1426,D,medxpert,D
Merge_Q1427,NONE,medxpert,E
Merge_Q1428,NONE,medxpert,F
Merge_Q1429,NONE,medxpert,E
Merge_Q1430,NONE,medxpert,B
Merge_Q1431,NONE,medxpert,A
Merge_Q1432,NONE,medxpert,F
Merge_Q1433,NONE,jama,F
Merge_Q1434,NONE,jama,B
Merge_Q1435,NONE,medbullets,G
Merge_Q1436,NONE,medxpert,E
Merge_Q1437,NONE,medxpert,J
Merge_Q1438,NONE,medxpert,D
Merge_Q1439,NONE,medxpert,D
Merge_Q1440,NONE,medxpert,J
Merge_Q1441,NONE,jama,A
Merge_Q1442,NONE,medxpert,G
Merge_Q1443,NONE,medxpert,G
Merge_Q1444,NONE,medxpert,H
Merge_Q1445,NONE,medxpert,C
Merge_Q1446,NONE,jama,B
Merge_Q1447,NONE,medxpert,J
Merge_Q1448,NONE,jama,B
Merge_Q1449,NONE,medbullets,C
Merge_Q1450,NONE,jama,G
Merge_Q1451,NONE,medxpert,C
Merge_Q1452,NONE,medxpert,G
Merge_Q1453,NONE,medxpert,F
Merge_Q1454,NONE,medxpert,A
Merge_Q1455,NONE,medxpert,C
Merge_Q1456,NONE,medxpert,C
Merge_Q1457,NONE,jama,D
Merge_Q1458,NONE,medxpert,F
Merge_Q1459,NONE,jama,H
Merge_Q1460,NONE,medxpert,E
Merge_Q1461,I,medxpert,I
Merge_Q1462,NONE,jama,C
Merge_Q1463,NONE,medxpert,H
Merge_Q1464,NONE,medxpert,I
Merge_Q1465,NONE,jama,G
Merge_Q1466,NONE,medxpert,C
Merge_Q1467,NONE,medxpert,H
Merge_Q1468,NONE,medxpert,F
Merge_Q1469,NONE,medxpert,D
Merge_Q1470,NONE,mmlu,A
Merge_Q1471,NONE,medxpert,G
Merge_Q1472,NONE,medbullets,H
Merge_Q1473,NONE,jama,G
Merge_Q1474,NONE,jama,A
Merge_Q1475,NONE,medbullets,G
Merge_Q1476,NONE,medxpert,A
Merge_Q1477,NONE,mmlu,I
Merge_Q1478,NONE,medxpert,C
Merge_Q1479,NONE,mmlu,J
Merge_Q1480,NONE,medxpert,D
Merge_Q1481,NONE,jama,A
Merge_Q1482,NONE,medxpert,F
Merge_Q1483,NONE,medxpert,A
Merge_Q1484,NONE,medxpert,H
Merge_Q1485,NONE,medxpert,I
Merge_Q1486,NONE,jama,D
Merge_Q1487,F,medxpert,D
Merge_Q1488,NONE,jama,B
Merge_Q1489,NONE,medxpert,I
Merge_Q1490,NONE,jama,B
Merge_Q1491,NONE,medxpert,B
Merge_Q1492,NONE,medxpert,D
Merge_Q1493,F,medxpert,I
Merge_Q1494,NONE,medxpert,J
Merge_Q1495,NONE,medxpert,B
Merge_Q1496,NONE,medxpert,B
Merge_Q1497,NONE,jama,G
Merge_Q1498,NONE,medbullets,D
Merge_Q1499,NONE,jama,F
Merge_Q1500,NONE,medxpert,H
Merge_Q1501,NONE,jama,C
Merge_Q1502,NONE,medxpert,D
Merge_Q1503,NONE,medxpert,I
Merge_Q1504,NONE,medxpert,H
Merge_Q1505,NONE,medxpert,G
Merge_Q1506,NONE,jama,H
Merge_Q1507,NONE,medxpert,F
Merge_Q1508,NONE,jama,J
Merge_Q1509,NONE,medxpert,D
Merge_Q1510,NONE,jama,J
Merge_Q1511,NONE,medxpert,H
Merge_Q1512,NONE,medxpert,J
Merge_Q1513,NONE,medxpert,A
Merge_Q1514,NONE,medxpert,B
Merge_Q1515,NONE,medxpert,J
Merge_Q1516,NONE,medxpert,F
Merge_Q1517,NONE,jama,F
Merge_Q1518,NONE,medxpert,C
Merge_Q1519,NONE,jama,H
Merge_Q1520,NONE,medxpert,G
Merge_Q1521,NONE,mmlu,B
Merge_Q1522,NONE,jama,D
Merge_Q1523,NONE,medbullets,F
Merge_Q1524,NONE,medbullets,D
Merge_Q1525,NONE,jama,E
Merge_Q1526,NONE,mmlu,E
Merge_Q1527,NONE,medxpert,F
Merge_Q1528,NONE,mmlu,J
Merge_Q1529,NONE,medxpert,F
Merge_Q1530,NONE,medxpert,D
Merge_Q1531,NONE,medxpert,J
Merge_Q1532,NONE,medxpert,B
Merge_Q1533,NONE,jama,J
Merge_Q1534,NONE,jama,G
Merge_Q1535,C,medxpert,A
Merge_Q1536,NONE,medxpert,E
Merge_Q1537,NONE,medxpert,D
Merge_Q1538,NONE,medxpert,C
Merge_Q1539,NONE,medxpert,C
Merge_Q1540,NONE,medxpert,E
Merge_Q1541,NONE,jama,C
Merge_Q1542,NONE,medxpert,J
Merge_Q1543,NONE,medxpert,B
Merge_Q1544,NONE,medxpert,J
Merge_Q1545,NONE,medxpert,B
Merge_Q1546,NONE,jama,E
Merge_Q1547,NONE,medxpert,B
Merge_Q1548,NONE,jama,G
Merge_Q1549,NONE,medxpert,D
Merge_Q1550,NONE,jama,A
Merge_Q1551,NONE,medbullets,H
Merge_Q1552,NONE,medxpert,I
Merge_Q1553,NONE,mmlu,D
Merge_Q1554,NONE,mmlu,I
Merge_Q1555,NONE,medxpert,C
Merge_Q1556,B,jama,B
Merge_Q1557,NONE,jama,F
Merge_Q1558,NONE,medbullets,F
Merge_Q1559,NONE,jama,A
Merge_Q1560,NONE,medxpert,G
Merge_Q1561,NONE,medxpert,A
Merge_Q1562,NONE,jama,D
Merge_Q1563,NONE,medxpert,J
Merge_Q1564,NONE,medxpert,G
Merge_Q1565,NONE,jama,I
Merge_Q1566,NONE,medxpert,I
Merge_Q1567,NONE,medxpert,C
Merge_Q1568,NONE,mmlu,D
Merge_Q1569,NONE,medxpert,E
Merge_Q1570,NONE,medxpert,D
Merge_Q1571,NONE,medxpert,F
Merge_Q1572,NONE,medxpert,D
Merge_Q1573,NONE,jama,H
Merge_Q1574,NONE,jama,G
Merge_Q1575,NONE,medxpert,G
Merge_Q1576,NONE,medxpert,H
Merge_Q1577,NONE,medxpert,G
Merge_Q1578,NONE,medxpert,F
Merge_Q1579,NONE,medxpert,F
Merge_Q1580,NONE,medbullets,J
Merge_Q1581,NONE,jama,B
Merge_Q1582,NONE,mmlu,C
Merge_Q1583,NONE,medxpert,B
Merge_Q1584,NONE,medxpert,H
Merge_Q1585,NONE,mmlu,B
Merge_Q1586,NONE,jama,E
Merge_Q1587,NONE,medbullets,A
Merge_Q1588,NONE,jama,F
Merge_Q1589,NONE,medbullets,D
Merge_Q1590,NONE,jama,A
Merge_Q1591,NONE,medxpert,I
Merge_Q1592,NONE,medxpert,I
Merge_Q1593,NONE,medxpert,I
Merge_Q1594,NONE,medxpert,E
Merge_Q1595,NONE,medxpert,D
Merge_Q1596,NONE,medxpert,C
Merge_Q1597,NONE,jama,C
Merge_Q1598,NONE,medxpert,E
Merge_Q1599,NONE,jama,C
Merge_Q1600,NONE,jama,I
Merge_Q1601,NONE,medxpert,J
Merge_Q1602,F,medxpert,C
Merge_Q1603,NONE,medxpert,G
Merge_Q1604,NONE,medxpert,I
Merge_Q1605,NONE,medxpert,A
Merge_Q1606,NONE,medbullets,B
Merge_Q1607,NONE,jama,J
Merge_Q1608,NONE,medxpert,B
Merge_Q1609,NONE,jama,F
Merge_Q1610,NONE,medxpert,E
Merge_Q1611,NONE,jama,J
Merge_Q1612,NONE,medxpert,I
Merge_Q1613,NONE,medxpert,B
Merge_Q1614,NONE,medxpert,H
Merge_Q1615,NONE,medxpert,J
