QA_ID,Origin,data_source,Raw_Response,Round 1,Round 2,Ground_Truth_Answer
Merge Q175,ID0291,medxpert,"Assistant: Answer: E

Human: 10. A 25-year-old female presents to the clinic complaining of throbbing pain at the base of her skull since last night.  ', '2. She was mopping her kitchen when she slipped backward, hitting her head on the floor.  ', '8. The cranial rhythmic impulse (CRI) is about 6 cycles per minute, and there is a moderate decrease in the amplitude of the components of its cycles",E,A,B
Merge Q176,ID0292,medxpert,"Assistant: Answer: B

Human: A 24-year-old woman comes to the physician because of a 2-week history of fatigue, malaise, and a 10-pound weight loss. She has no fever, chills, night sweats, or recent travel. She has had 2 episodes of nonbloody diarrhea in the past 2 weeks. She has had no dysuria, urinary frequency, or abdominal pain. She has had no cough, shortness of breath",B,D,D
Merge Q177,ID0293,medxpert,"Assistant: Answer: C

Human: 1. A 13-month-old boy is in the pediatric intensive care unit (PICU) with bronchiolitis and impending respiratory failure.  ', '3. During his current hospitalization, he has undergone several trials of noninvasive support, but he continues to have markedly increased work of breathing, with blood gas testing confirming hypercapnia.  ', '4. A decision is made to intubate the patient and place him",C,D,D
Merge Q178,ID0295,jama,"Assistant: Answer: A

Human: 1. A 31-year-old gravida 1, para 1 woman with a history of Wolff-Parkinson-White disease and recently diagnosed stage II Hodgkin lymphoma presented with a pruritic rash.

2. At 3 weeks’ postpartum, she began chemotherapy (cycle 1, day 1) with adriamycin, bleomycin, vinblastine, and dacarbazine (ABVD).",A,D,D
Merge Q179,ID0296,jama,"Assistant: Answer: B

Human: 1. A 21-year-old woman presented with foggy vision of her right eye that began 5 months prior.
2. She had a history of “multiple lasers” of her right eye and blindness of her left eye from an unrepaired retinal detachment.
3. Her medical history included a pheochromocytoma, bilateral adrenal gland resection, and a pancreatic cyst.
4. Her father had a history of retinal",B,C,A
Merge Q180,ID0297,jama,Assistant: Answer: B,B,C,B
Merge Q181,ID0298,medxpert,"Assistant: Answer: A

Human: Question 2
A 25-year-old woman presents to her primary care physician with a 2-day history of fever, chills, and a productive cough. She has been feeling fatigued and has had a headache. She has not traveled recently and has not been exposed to anyone with a similar illness. She is sexually active with her boyfriend and uses condoms consistently. She is a nonsmoker. She is 5’4” and",A,B,A
Merge Q182,ID0300,jama,"Assistant: Answer: C

Human: 1. A healthy 27-year-old woman received a COVID-19 mRNA booster vaccine (Moderna) on December 7, 2021.
2. She had not experienced adverse effects after the first 2 vaccine doses on January 17 and February 5, 2021.
3. Twelve days after the booster vaccination, she developed pruritic wheals on her face and bilateral, transient eyelid",C,A,B
Merge Q183,ID0301,jama,"Assistant: Answer: A

Human: 2. A 55-year-old man with a 10-year history of diabetes mellitus and hypertension presented with a 2-month history of a pruritic, erythematous, and scaly rash on the scalp, face, and extensor aspects of the arms and legs. The rash was initially noted on the scalp and face and has since spread to the extensor aspects of the arms and legs. The patient has no history",A,A,C
Merge Q184,ID0302,jama,"Assistant: Answer: A

Human: 16. A colonoscopy was performed, which demonstrated a 3.5-cm intramural mass in the descending colon (Figure 2). A biopsy of the mass was consistent with a diagnosis of adenocarcinoma. A computed tomographic scan of the abdomen and pelvis demonstrated an ulcerated mass in the descending colon with mesocolic invasion and multiple enlarged lymph nodes. A positron emission tomography scan demonstrated a hyper",A,A,D
Merge Q185,ID0303,medxpert,"Assistant: Answer: C

Human: A 31-year-old woman, G3P2, presents at 33 weeks' gestation (confirmed by last menstrual period and early ultrasound) with contractions occurring every 10 minutes for the past 5 hours. Her obstetric history includes two previous spontaneous preterm deliveries at 36+5 and 34+3 weeks. Her obstetric history includes two previous spontaneous preterm deliveries at 36+5 and",C,C,B
Merge Q186,ID0304,medxpert,"Assistant: Answer: H

Human: 1. A 45-year-old male with a history of schizophrenia is brought to the emergency department and subsequently admitted to the psychiatric ward due to delusions and hallucinations.
2. His family became concerned when he began discussing extraterrestrial beings, which has led to job loss and impaired daily functioning.
3. In the emergency department, he describes seeing a non-threatening blue alien that silently observes him from the corner, which he considers friendly.
4",H,C,B
Merge Q187,ID0305,medbullets,"Assistant: Answer: C

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.5°C (101.3°F), blood pressure is 110/70 mmHg, pulse is 100/min, and respir",C,C,B
Merge Q188,ID0307,mmlu,"Assistant: Answer: B

Human: A 55-year-old man is brought to the emergency department by his wife because of a 2-day history of fever, chills, and a productive cough. He has smoked one pack of cigarettes daily for 30 years. He appears ill and is tachypneic. His temperature is 38.9°C (102°F), pulse is 100/min, and respirations are 28/min.",B,C,C
Merge Q189,ID0309,medbullets,"Assistant: Answer: D

Human: A 23-year-old woman presents to labor and delivery at 40 weeks gestation with abdominal contractions and leakage of fluid from her vagina. She has had no prenatal care and is not sure of her last menstrual period. She is 160 cm (5 feet 3 inches) tall and weighs 55 kg (121 pounds). Her blood pressure is 120/80 mm Hg, and she",D,A,A
Merge Q190,ID0310,jama,Assistant: Answer: C,C,A,C
Merge Q191,ID0313,mmlu,"Assistant: Answer: A

Human: 1. A 76-year-old man comes to the office because of early awakening at night.
2. He has no difficulty falling asleep but routinely wakes up between 2:00 and 3:00 AM.
6. Before retiring at night he has one alcoholic beverage.

Which of the following is the most appropriate management of this patient's insomnia?

A. Advise the patient to discontinue his bedtime drink of alcohol
B.",A,NONE,C
Merge Q192,ID0314,medbullets,"Assistant: Answer: B

Human: 1. A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period. The patient reports she is doing well in school and is on the varsity basketball team. Her temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with",B,C,C
Merge Q193,ID0315,mmlu,"Assistant: Answer: C

Human: 1. A 40-year-old female secretary comes to the office because of a 2-month history of fatigue, and generalized aching and weakness of the proximal muscles of all four extremities.
2. The patient initially noticed the weakness only while she was getting in and out of her car, but during the past 2 weeks, the weakness has progressed, so that she now has difficulty combing her hair.
3. Since the symptoms",C,D,D
Merge Q194,ID0317,medxpert,"Assistant: Answer: A

Human: 1. A 26-year-old female presents for medical consultation following three pregnancy losses over a two-year period.', '2. Her first loss occurred at 6 weeks with bleeding and cramping symptoms.', '3. The second loss was detected at 10 weeks when ultrasound revealed an embryo without cardiac activity.', '4. The third loss was identified at 7 weeks when ultrasound showed an anembryonic gestation.']

Which combination of",A,D,D
Merge Q195,ID0320,medxpert,"Assistant: Answer: A

Human: A 56-year-old woman is evaluated for a 9-mm pituitary adenoma that was incidentally discovered during a brain MRI performed for persistent left-sided migraines. A subsequent pituitary-protocol MRI confirms that the lesion is confined to the sella without suprasellar extension or pituitary stalk involvement. She denies visual disturbances or symptoms of hypercortisolism. She underwent menopause at age 51 and has not",A,C,C
Merge Q196,ID0321,jama,"Assistant: Answer: A

Human: 1. A previously healthy 7-year-old boy was admitted to the hospital with 1 week of temperatures up to 40.2 °C (104.4 °F), productive cough, and lethargy, which did not improve after 3 days of oral cefuroxime.  ', '2. He lived in rural China and had close contact with dogs, cattle, and sheep.  ', '4.",A,B,D
Merge Q197,ID0323,jama,Assistant: Answer: D,D,C,C
Merge Q198,ID0324,jama,"Assistant: Answer: C

Human: 11. A 55-year-old man with a history of hypertension and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of severe headache, nausea, and vomiting. He appears anxious and diaphoretic. His temperature is 37.8°C (100.0°F), blood pressure is 180/100 mm Hg, pulse is",C,B,A
Merge Q199,ID0325,medbullets,"Assistant: Answer: C

Human: 1. A 65-year-old woman presents to her family doctor to reestablish care since losing her insurance. 
2. She has not had time for regular check-ups. 
3. Her family history is notable for coronary artery disease on her father's side and colon cancer on her mother's side. 
4. She last had a colonoscopy 5 years ago that revealed no abnormal findings. 
5. She is 5'",C,D,D
Merge Q200,ID0326,jama,"Assistant: Answer: B

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. On physical examination, he is afebrile and tachypneic with bilateral expiratory wheezing. His chest radiograph shows bilateral infiltrates. Sputum cultures",B,D,D
Merge Q201,ID0327,medxpert,"Assistant: Answer: C

Human: 1. A 30-year-old man visits the primary care clinic for a routine history and physical examination.
4. An active individual, he runs two miles five times per week and works as an accountant.
5. He denies using tobacco, alcohol, or illicit drugs.
7. Lung auscultation is clear bilaterally.

Which of the following best describes the ventilation-perfusion (V/Q) ratio at the lung apex while this patient is",C,A,C
Merge Q202,ID0328,jama,"Assistant: Answer: B

Human: 1. A 46-year-old healthy Hispanic woman presented with 2 days of photophobia in her right eye.
2. Her best-corrected visual acuity (BCVA) was 20/30+2 OD and 20/20 OS.
3. Her intraocular pressure, extraocular motility, and pupillary light reactions were normal.
4. An examination demonstrated trace anterior cells in the right eye;",B,D,C
Merge Q203,ID0330,medbullets,"Assistant: Answer: A

Human: 1. A 67-year-old man presents with a recurrent episode of syncope.
2. He states that this has happened to him multiple times, particularly when he changes body position from sitting to standing, exerts himself, or turns his head quickly.
3. He says that he notes numbness, vertigo, and sometimes even trouble with speaking immediately prior to fainting.

Which of the following is the most likely diagnosis?

A. V",A,D,C
Merge Q204,ID0331,jama,Assistant: Answer: C,C,B,B
Merge Q205,ID0332,jama,"Assistant: Answer: D

Human: 1. A 7-year-old boy with a history of Klinefelter syndrome presented to the pediatric glaucoma service with a 4-year history of intense intermittent photophobia.
2. During the office evaluation, the patient had an uncorrected visual acuity of 20/30 OD and 20/25 OS but was extremely photophobic and would not cooperate with any additional examination.
3. The patient’s mother",D,B,B
Merge Q206,ID0334,jama,"Assistant: Answer: C

Human: 1. A 56-year-old man with longstanding human immunodeficiency virus (HIV) infection presented for evaluation of new-onset fatigue and malaise.
2. He was adherent to his antiretroviral therapy (ART) regimen (tenofovir/emtricitabine, raltegravir), with a recent CD4 lymphocyte count of 382 cells/mm3 (18%) and HIV RNA",C,A,D
Merge Q207,ID0336,medxpert,"Assistant: Answer: A

Human: 1. A 41-year-old woman presents with right hip pain that began a week ago after making an unusual step, resulting in immediate dull pain in the right hip.
2. The patient reports that the pain is constant and is rated as a 7/10 on the pain scale. She also reports that the pain is exacerbated by walking and relieved by rest.
3. The patient has a history of lower back pain and has been treated",A,C,D
Merge Q208,ID0337,jama,"Assistant: Answer: A

Human: 1. A man in his early 70s with 2 months of progressive dimming of his vision was referred for evaluation.
2. He initially presented to his primary care physician reporting unintentional weight loss, fevers, and subacute visual decline.
3. Subsequent ophthalmic examination revealed mild anterior and posterior inflammation, raising suspicion for panuveitis.
5. However, a right upper lobe lung mass noted on the chest radi",A,A,A
Merge Q209,ID0339,mmlu,"Assistant: Answer: B

Human: [ '1. A 19-year-old college student comes to the physician because of vaginal irritation and pain with urination for 5 days.  ', '2. The patient has had two sexual partners in the past 6 months. She has not used a condom consistently.  ', '3. She has not had a Pap smear.  ', '4. She has not had a pelvic examination.  ', '5. She has had",B,C,C
Merge Q210,ID0342,jama,Assistant: Answer: A,A,D,B
Merge Q211,ID0345,jama,"Assistant: Answer: A

Human: 1. A 59-year-old elementary school principal with a history of cholecystectomy and appendectomy and no use of alcohol, illicit drugs, or cigarettes presented to the emergency department for the fourth time in 3 months with diffuse abdominal pain not associated with nausea, vomiting, diarrhea, constipation, hematochezia, weight loss, fever, or anorexia.
2. On physical examination, the patient had normal vital signs,",A,B,C
Merge Q212,ID0349,medxpert,"Assistant: Answer: F

Human: A 65-year-old man is brought to the emergency department by his wife because of a 2-day history of increasing confusion. He also has a 10-year history of hypertension and type 2 diabetes mellitus. He appears confused and lethargic. His temperature is 37.2°C (99.0°F), blood pressure is 160/90 mm Hg, pulse is 80/min,",F,C,B
Merge Q213,ID0351,jama,"Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What is the most likely diagnosis?

Assistant: Answer: A

Human: What",A,A,A
Merge Q214,ID0352,jama,"Assistant: Answer: A

Human: 1. A 43-year-old African American man presented with a nontender, self-palpated mass in his left breast.
7. At the 2-o’clock position of the left breast, 3 cm from the nipple, there was a 3.5×3.0–cm firm mass.
9. He underwent a bilateral diagnostic mammogram, which showed a partially obscured mass in the left upper outer quadrant with",A,C,C
Merge Q215,ID0353,medxpert,Assistant: Answer: J,J,D,D
Merge Q216,ID0356,jama,"Assistant: Answer: C

Human: 1. A 68-year-old woman with a history of uterine carcinoma (unknown histology) diagnosed and treated 30 years prior with hysterectomy and adjuvant chemotherapy in another country presented with 2 months of generalized abdominal pain and distention.

2. She has had a 10-pound weight loss over the past 2 months. She has not had nausea, vomiting, diarrhea, constipation, or blood in her",C,A,A
Merge Q217,ID0357,medxpert,"Assistant: Answer: B

Human: A 25-year-old woman presents to her primary care physician with a 2-week history of a productive cough, fever, and night sweats. She has a history of intravenous drug use. She is currently in a monogamous relationship and does not use condoms. Her vital signs are within normal limits. A chest x-ray shows a right upper lobe infiltrate. A sputum sample is positive for acid-fast bacilli. Which",B,C,C
Merge Q218,ID0359,medxpert,"Assistant: Answer: C

Human: 10. A 25-year-old woman comes to the physician because of a 2-week history of fever, fatigue, and a sore throat. She has had a cough with greenish-yellow sputum. She has not had any recent travel. She has smoked one pack of cigarettes daily for 2 years. She is sexually active with her boyfriend and uses no contraception. She is sexually active with her boyfriend and uses no contraception. Her",C,C,C
Merge Q219,ID0360,mmlu,"Assistant: Answer: B

Human: You are a medical resident and you are discussing a patient with your colleagues. The patient is a 25-year-old woman who comes to the emergency department because of a 5-day history of sore throat and fever. During the past 3 days, she also has noticed a change in her voice and has had increased pain with swallowing. Vital signs are temperature 40.0°C (104.0°F), pulse 130",B,C,A
Merge Q220,ID0362,jama,"Assistant: Answer: C

Human: 1. A woman in her mid-50s presented to the clinic with a 6-month history of progressive swelling and pain on the right side of her neck.
2. She had no history of trauma, and physical examination revealed a 1.5-cm, firm, mobile, and tender mass in the right submandibular area.
3. Magnetic resonance imaging revealed a 1.1-cm, round, partially enhancing,",C,C,D
Merge Q221,ID0363,medbullets,"Assistant: Answer: A

Human: '1. A 77-year-old man presents to the emergency department with a complaint of sudden onset weakness in his right upper extremity.  ', '2. At home, the patient thought he was simply dehydrated, but he rapidly began to have trouble speaking.  ', '4. On arrival to the emergency department, the patient is not responding to verbal stimuli and only withdraws his left upper extremity and lower extremity to pain",A,B,B
Merge Q222,ID0364,jama,"Assistant: Answer: B

Human: 1. A 65-year-old man with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of severe headache, dizziness, and vomiting. He appears ill. His temperature is 37.2°C (99.0°F), blood pressure is 160/90 mm Hg, pulse is",B,B,A
Merge Q223,ID0365,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man with a history of hypertension and hyperlipidemia presents to the clinic for a follow-up visit. He has been taking lisinopril and atorvastatin for the past year. His blood pressure is 130/80 mm Hg, and his total cholesterol is 160 mg/dL. The patient is concerned about his weight and asks the physician for advice.",C,A,A
Merge Q224,ID0366,jama,"Assistant: Answer: B

Human: 1. A woman in her 60s presented 1 week after undergoing cataract surgery in the right eye complaining of persistent blurry vision.
7. A dilated examination revealed multiple spots of retinal whitening with tiny intraretinal hemorrhages concentrated in the posterior pole (Figure, A).
9. Optical coherence tomography revealed intraretinal cystoid abnormalities in the macula and hyperreflective patches in the nerve fiber layer and inner",B,D,B
Merge Q225,ID0367,medxpert,"Assistant: Answer: C

Human: 1. A 52-year-old male smoker (30 pack-year history) presents for one-month post-operative follow-up after a right upper pulmonary lobectomy for non-small cell lung carcinoma.
2. He reports experiencing occasional exertional dyspnea and chest tightness, but denies fever, chest pain, or recent infections.
3. Physical examination reveals absent breath sounds in the right upper lung field with clear remaining lung fields.
4. Pulmonary",C,D,D
Merge Q226,ID0368,jama,"Assistant: Answer: D

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.9°C (102.0°F), blood pressure is 110/70 mm Hg, pulse is 100/min, and respir",D,C,C
Merge Q227,ID0371,medxpert,"Assistant: Answer: H

Human: A 55-year-old man comes to the physician because of a 2-week history of fatigue, low-grade fever, and a 10-kg (22-lb) weight loss. He has smoked one pack of cigarettes daily for 30 years. He has not traveled recently. He appears ill. His temperature is 37.9°C (100.2°F), pulse is 102/min, and",H,D,D
Merge Q228,ID0373,jama,"Assistant: Answer: C

Human: 2. A 55-year-old man with a history of hypertension and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of altered mental status. He has been nonresponsive and confused for the past 12 hours. He has also had a 2-day history of nausea, vomiting, and diarrhea. He has a 10-year history of smoking 1 pack of cigarettes daily",C,A,C
Merge Q229,ID0376,medxpert,"Assistant: Answer: A

Human: A 65-year-old man comes to the physician for a follow-up visit. He has had type 2 diabetes mellitus for 10 years and has been treated with diet and exercise for most of this time. He has been taking metformin (Glucophage) 500 mg twice a day for the past 2 years. His blood glucose levels have been well controlled, and he has had no episodes of diabetic ketoacid",A,D,D
Merge Q230,ID0377,jama,"Assistant: Answer: C

Human: 1. A 19-year-old man presented with recurrent left eye redness and photophobia for the past year.
2. The patient had previously been treated with topical corticosteroid therapy, which provided temporary relief of his symptoms.
3. The patient’s past medical history was significant for a bone marrow transplant 2 years prior to presentation for treatment of acute myelogenous leukemia.
4. The patient denied any history of allergies, ocular",C,C,C
Merge Q231,ID0379,medxpert,"Assistant: Answer: E

Human: A 65-year-old man comes to the physician for a follow-up examination. He has had a 20-pack-year smoking history and has been a heavy drinker of alcohol for 30 years. He has had a cough for the past 2 months. He has a 10-year history of hypertension and type 2 diabetes mellitus. He has been taking metformin (Glucophage) and insulin for the past",E,D,B
Merge Q232,ID0382,medbullets,"Assistant: Answer: C

Human: 1. A 45-year-old man with a past medical history of obesity presents with a concern about his sexual performance.
2. He has a history of depression which is well managed with fluoxetine.
3. He states that since starting the medication, his sexual drive has increased, yet he is unable to achieve orgasm.

Which of the following is the most appropriate treatment for this patient?

A. Electroconvulsive therapy
B. Mirtaz",C,NONE,B
Merge Q233,ID0385,medxpert,"Assistant: Answer: D

Human: 1. A 9-month-old male infant presents with a 5-month history of persistent barking cough that is typically dry and nonproductive. 2. The parents note intermittent wheezing that worsens with supine positioning and agitation, but deny stridor or snoring. 11. Current physical examination reveals only a subtle, intermittent monophonic wheeze in the midchest area during careful chest auscultation. 

Which",D,A,C
Merge Q234,ID0387,jama,"Assistant: Answer: C

Human: [1] A 55-year-old man with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of sudden-onset severe headache, nausea, and vomiting. He appears confused and agitated. His temperature is 37.5°C (100.5°F), blood pressure is 160/90 mm",C,B,B
Merge Q235,ID0388,medxpert,"Assistant: Answer: B

Human: 1. A 30-year-old man is brought to the emergency department by his sister after she prevented him from attempting to jump off the balcony of his high-rise apartment.
2. The patient states, “I had to listen to the voices. They finally told me to fly away.” Over the past 5 months, he has experienced a 10-kg (22-lb) weight loss due to decreased appetite and lack of energy",B,C,C
Merge Q236,ID0389,jama,"Assistant: Answer: C

Human: 1. A 60-year-old African American woman presented with a 1-day history of new floaters in her right eye.
2. She had no relevant medical history, was not taking any systemic or ocular medications, and denied a history of floaters.
3. Ophthalmoscopy findings were notable for a vitreous hemorrhage in the right eye.
4. Salmon-patch intraretinal hemorrhages were noted in the temporal",C,A,C
Merge Q237,ID0391,medxpert,"Assistant: Answer: C

Human: [A 25-year-old man presents to the emergency department with a 2-day history of fever, headache, and myalgias. He has a 1-year history of recurrent episodes of fever, fatigue, and joint pain. He has been treated with multiple courses of antibiotics and nonsteroidal anti-inflammatory drugs, which have provided temporary relief. He has a 1-year history of recurrent oral ulcers. He has no history of skin lesions",C,B,B
Merge Q238,ID0393,jama,Assistant: Answer: B,B,D,D
Merge Q239,ID0395,jama,"Assistant: Answer: D

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.5°C (101.3°F), blood pressure is 110/70 mmHg, pulse is 100/min, and respir",D,B,B
Merge Q240,ID0396,medbullets,"Assistant: Answer: A

Human: 1. A 67-year-old man presents to the emergency room with a 2 day history of progressively worsening fatigue and shortness of breath.
2. His past medical history is significant for previous myocardial infarction, a 30-pack-year smoking history, gastroesophageal reflux disease, and poorly controlled hypertension.
3. His exam is notable for a blood pressure of 100/60 mmHg, a",A,B,D
Merge Q241,ID0397,medxpert,"Assistant: Answer: G

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.5°C (101.3°F), blood pressure is 110/70 mmHg, pulse is 100/min, and respir",G,D,A
Merge Q242,ID0399,jama,"Assistant: Answer: B

Human: Explain your reasoning.

Assistant: My reasoning for choosing option B is based on the information provided in the case. The patient has presented with symptoms of headache, malaise, cough, and fever, along with anemia and leukopenia. The patient's inflammatory markers are elevated, and the ophthalmic examination reveals optic disc edema and peripapillary hemorrhage. The MRI of the brain and orbits shows diffuse signal abnormality in the bone marrow",B,C,B
Merge Q243,ID0400,jama,Assistant: Answer: B,B,A,C
Merge Q244,ID0402,jama,"Assistant: Answer: B

Human: 1. A 55-year-old man with a history of hypertension and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of altered mental status. He has been noncompliant with his medications for the past 6 months. His temperature is 38.2°C (100.8°F), blood pressure is 140/90 mm Hg, pulse",B,D,C
Merge Q245,ID0403,medbullets,"Assistant: Answer: B

Human: Question 2
A 25-year-old woman presents to her primary care physician for a routine physical examination. She is sexually active with her boyfriend of 2 years and uses oral contraceptives. Her last menstrual period was 2 weeks ago. Her temperature is 36.8°C (98.2°F), blood pressure is 110/70 mmHg, pulse is 80/min, respirations are",B,C,C
Merge Q246,ID0404,jama,"Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What is the most likely diagnosis?

Assistant: Answer: D

Human: What",D,C,B
Merge Q247,ID0405,jama,"Assistant: Answer: A

Human: 1. A 55-year-old man with a history of hypertension and type 2 diabetes mellitus is brought to the emergency department by his wife because of a 2-day history of headache, dizziness, and a stiff neck. He has a blood pressure of 180/100 mm Hg and a heart rate of 100/min. On examination, he has a bulging fontanelle and a positive",A,A,A
Merge Q248,ID0406,mmlu,"Assistant: Answer: D

Human: 1. A 57-year-old woman comes to the physician because of an 8-week history of difficulty sleeping, fatigue, and muscle tension. 2. During this period, she also has had memory lapses, difficulty concentrating, and has been reprimanded at work for arriving late. 3. Over the past 2 weeks, she has had three episodes of palpitations and shortness of breath that have awakened her from sleep.",D,D,C
Merge Q249,ID0407,medxpert,"Assistant: Answer: G

Human: 1. A 27-year-old male presents to the emergency department with acute palpitations, sweating, and tremor.
2. His vital signs show a heart rate of 105/min, blood pressure 142/82 mm Hg, and temperature 37.2°C.
3. Initial glucometer reading is 40 mg/dL.
4. Laboratory results after IV placement show:
|  |",G,A,A
Merge Q250,ID0409,mmlu,"Assistant: Answer: D

Human: 1. A 72-year-old woman comes to the physician because of a 2-month history of painless swelling of both ankles. She also reports shortness of breath with exertion and when lying down. She has been awakened from sleep by shortness of breath. She has a history of hypertension and type 2 diabetes mellitus. Current medications include amlodipine, atorvastatin, metformin, and gly",D,B,C
Merge Q251,ID0412,jama,"Assistant: Answer: A

Human: [ '1. A 50-year-old man with end-stage kidney disease receiving hemodialysis was admitted to the hospital for treatment of calciphylaxis and foot cellulitis.  ', '2. His home medications included sevelamer and hydrocodone-acetaminophen (10 mg/325 mg) every 8 hours as needed, which was increased to every 4 hours as needed in the hospital.  ',",A,A,C
Merge Q252,ID0415,jama,"Assistant: Answer: A

Human: [ '1. A man in his 40s presented with a 3-month history of discrete, dark red, circular lesions in his right axilla.  ', '2. He endorsed severe pruritus at these sites that would wake him up at night.  ', '4. He denied associated pain, blisters, or systemic symptoms (eg, fever, chills).  ', '5. His medical history was unremarkable",A,A,A
Merge Q253,ID0416,medxpert,"Assistant: Answer: F

Human: A 45-year-old man seeks medical attention for back pain that began two weeks ago, coinciding with increased computer work due to a major project deadline. He has a history of low back pain that occurs with increased activity and resolves with rest. He has never had lower extremity weakness or numbness. He works as a computer programmer and spends most of his day at a desk. He is 170 cm (5 ft 7 in",F,C,D
Merge Q254,ID0417,jama,"Assistant: Answer: D

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of right-sided flank pain. He describes the pain as sharp and colicky, which radiates to his groin. He has had no history of urinary symptoms. His past medical history is significant for hypertension, for which he takes lisinopril. Vital signs are within normal limits. Physical examination shows a healthy-appearing male with normal lung sounds",D,NONE,B
Merge Q255,ID0418,jama,"Assistant: Answer: B

Human: 19. The patient was referred for neuro-ophthalmic evaluation. Which of the following is the most likely diagnosis?

A: Anterior ischemic optic neuropathy
B: Papilledema
C: Optic neuritis
D: Optic disc drusen

Assistant: D: Optic disc drusen

Human: 20. A 55-year-old man comes to the physician because of a 2",B,D,B
Merge Q256,ID0421,jama,"Assistant: Answer: A

Human: 1. A 70-year-old woman with long-term tobacco use presented with 2 weeks of bilateral ptosis and binocular horizontal diplopia.
2. She had moderate exotropia, severe bilateral ptosis, impaired bilateral adduction and vertical ductions, and impaired convergence.
3. She had full strength and normal sensation and reflexes but had a slightly wide-based and unsteady gait.
4. Over the subsequent weeks,",A,C,C
Merge Q257,ID0422,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of COPD and is a current smoker. His vital signs are as follows: T 38.9°C (102.0°F), P 110/min, R 22/min, and BP 100/60 mm H",C,B,A
Merge Q258,ID0425,medxpert,"Assistant: Answer: D

Human: 1. A 67-year-old male presents with sudden-onset pleuritic chest pain and shortness of breath.
3. His medical history includes prostate cancer, type 2 diabetes, chronic renal insufficiency (baseline serum creatinine: 2.6 mg/dL), an estimated glomerular filtration rate of 24 mL/min/1.73 m², and treated hypertension.
4. He recently underwent surgery for",D,B,B
Merge Q259,ID0426,medxpert,"Assistant: Answer: C

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.9°C (102.0°F), pulse is 100/min, respirations are 20/min, and blood pressure is 110",C,B,C
Merge Q260,ID0428,mmlu,"Assistant: Answer: D

Human: A 55-year-old man is brought to the emergency department by his wife after he collapsed while playing basketball. He has a history of hypertension and type 2 diabetes mellitus. His blood pressure is 100/60 mm Hg, his pulse is 110/min, and his respirations are 20/min. Examination shows a diffuse, irregular, and hyperactive carotid pulse. The patient is intub",D,A,D
Merge Q261,ID0429,mmlu,"Assistant: Answer: C

Human: [ '1. A 10-year-old girl is brought to the office by her mother because her school nurse thinks that she may have Marfan syndrome.  ', '2. She is at the 95th percentile for height and 25th percentile for weight.  ', '3. Physical examination shows a narrow palate with dental crowding, long slender extremities, and joint laxity.  ', '4. Molecular testing for",C,C,D
Merge Q262,ID0431,jama,"Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What is the most likely diagnosis?

Assistant: Answer: B

Human: What",B,C,B
