Origin,Problem ID,Labeling state,User ID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
ID0584,25262484,Labeled,423438,c,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0581,25262487,Labeled,580,b,high relevance,not relevant,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0578,25262490,Labeled,580,d,high relevance,low relevance,high relevance,not relevant,not relevant,not relevant,not relevant,low relevance,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0577,25262491,Labeled,615380,c,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0576,25262492,Labeled,24708,c,high relevance,low relevance,not relevant,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0575,25262493,Labeled,423438,d,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0574,25262494,Labeled,423438,h,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0572,25262496,Labeled,580,c,high relevance,high relevance,not relevant,low relevance,not relevant,high relevance,low relevance,not relevant,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0569,25262499,Labeled,24708,d,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0568,25262500,Labeled,580,c,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0567,25262501,Labeled,24708,c,high relevance,high relevance,low relevance,not relevant,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0566,25262502,Labeled,615169,b,high relevance,low relevance,not relevant,high relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0564,25262504,Labeled,24708,d,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0561,25262507,Labeled,622145,d,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0559,25262509,Labeled,615380,b,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable
ID0555,25262513,Labeled,423438,d,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0554,25262514,Labeled,24708,a,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0553,25262515,Labeled,423438,c,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0552,25262516,Labeled,615169,c,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0551,25262517,Labeled,615169,b,high relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0546,25262522,Labeled,580,d,high relevance,low relevance,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0543,25262525,Labeled,580,d,high relevance,not relevant,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0542,25262526,Labeled,423438,d,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0541,25262527,Labeled,615169,b,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0539,25262529,Labeled,615169,c,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,not relevant,not relevant,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0535,25262533,Labeled,615169,c,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0534,25262534,Labeled,423438,b,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0533,25262535,Labeled,615169,c,high relevance,low relevance,not relevant,low relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0532,25262536,Labeled,423438,b,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable
ID0529,25262539,Labeled,580,d,low relevance,low relevance,not relevant,not relevant,high relevance,not relevant,high relevance,not relevant,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0528,25262540,Labeled,24708,b,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,not applicable,high relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0525,25262543,Labeled,423438,b,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0524,25262544,Labeled,615169,b,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0522,25262546,Labeled,423438,c,high relevance,high relevance,not applicable,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0521,25262547,Labeled,423438,h,not applicable,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0520,25262548,Labeled,615169,b,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0519,25262549,Labeled,423438,i,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0517,25262551,Labeled,580,a,high relevance,low relevance,high relevance,not applicable,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0514,25262554,Labeled,615380,i,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0513,25262555,Labeled,615380,b,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0511,25262557,Labeled,615169,b,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not relevant,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0510,25262558,Labeled,615169,b,high relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0509,25262559,Labeled,24708,j,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0508,25262560,Labeled,24708,b,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0506,25262562,Labeled,580,d,high relevance,low relevance,low relevance,not relevant,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0504,25262564,Labeled,615380,b,high relevance,low relevance,low relevance,not relevant,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0503,25262565,Labeled,615380,a,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0502,25262566,Labeled,615380,c,high relevance,high relevance,low relevance,low relevance,not relevant,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0500,25262568,Labeled,615169,b,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,low relevance,not relevant,not relevant,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0498,25262570,Labeled,615380,c,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0496,25262572,Labeled,24708,c,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0495,25262573,Labeled,580,b,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,high relevance,not relevant,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0494,25262574,Labeled,615169,c,high relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0492,25262576,Labeled,24708,c,high relevance,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0491,25262577,Labeled,615380,a,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0490,25262578,Labeled,24708,b,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,not applicable,high relevance,high relevance,not relevant,high relevance,not relevant,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0488,25262580,Labeled,24708,c,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance
ID0487,25262581,Labeled,580,c,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0484,25262584,Labeled,24708,c,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0483,25262585,Labeled,615169,a,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not relevant,high relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0479,25262589,Labeled,615169,b,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable
ID0478,25262590,Labeled,615169,a,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable
ID0477,25262591,Labeled,24708,c,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0476,25262592,Labeled,423438,c,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0473,25262595,Labeled,615169,a,high relevance,low relevance,high relevance,high relevance,low relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0472,25262596,Labeled,615169,d,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0471,25262597,Labeled,615169,d,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,not relevant,not relevant,not relevant,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0470,25262598,Labeled,580,c,low relevance,high relevance,high relevance,not relevant,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0469,25262599,Labeled,615169,a,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0468,25262600,Labeled,580,c,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,not relevant,high relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0467,25262601,Labeled,622145,c,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,high relevance,high relevance,low relevance,high relevance,not applicable,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable
ID0466,25262602,Labeled,24708,d,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable
ID0465,25262603,Labeled,24708,b,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0463,25262605,Labeled,24708,d,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0462,25262606,Labeled,615169,c,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0461,25262607,Labeled,615380,c,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0460,25262608,Labeled,24708,c,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not relevant,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0458,25262610,Labeled,615169,f,high relevance,not relevant,not relevant,high relevance,high relevance,high relevance,high relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0455,25262613,Labeled,24708,e,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0453,25262615,Labeled,24708,d,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,not relevant,high relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0451,25262617,Labeled,615169,b,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,low relevance
ID0449,25262619,Labeled,615169,c,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0447,25262621,Labeled,24708,d,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0446,25262622,Labeled,24708,c,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable
ID0444,25262624,Labeled,423438,c,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0442,25262626,Labeled,615380,d,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0440,25262628,Labeled,580,b,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0438,25262630,Labeled,580,b,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0437,25262631,Labeled,24708,c,low relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0435,25262633,Labeled,24708,i,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0433,25262635,Labeled,615169,e,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0431,25262637,Labeled,24708,c,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0429,25262639,Labeled,423438,b,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0428,25262640,Labeled,615169,d,high relevance,high relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0425,25262643,Labeled,615169,f,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,not relevant,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0422,25262646,Labeled,423438,c,high relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0421,25262647,Labeled,24708,d,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,low relevance,high relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0417,25262651,Labeled,615380,d,high relevance,low relevance,not applicable,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0415,25262653,Labeled,24708,b,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,not relevant,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0412,25262656,Labeled,24708,d,high relevance,high relevance,high relevance,not relevant,high relevance,high relevance,not relevant,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0409,25262659,Labeled,616951,d,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0407,25262661,Labeled,24708,g,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0406,25262662,Labeled,580,d,high relevance,high relevance,low relevance,low relevance,not relevant,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0405,25262663,Labeled,615169,b,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0404,25262664,Labeled,615169,d,low relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0403,25262665,Labeled,615169,b,high relevance,not relevant,not relevant,not relevant,not relevant,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0402,25262666,Labeled,423438,b,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0400,25262668,Labeled,24708,b,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0399,25262669,Labeled,615169,c,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0397,25262671,Labeled,615380,b,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0396,25262672,Labeled,615169,b,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID0395,25262673,Labeled,423438,c,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
