QA_ID_std,14B_sentence_number
Merge Q261,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17"
Merge Q2614,"1,2,3,4,5,6"
Merge Q2621,"1,2,3,4,5"
Merge Q2622,"1,2,3,4,5"
Merge Q2630,"1,2,3,4,6,7,8"
Merge Q2636,"1,2,3,4"
Merge Q2639,"1,2,3,4,5,6"
Merge Q264,"1,2,3,4,6,7,8,9"
Merge Q2643,"1,2,3,4,5,6,7,8,9"
Merge Q265,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q2652,"1,2,3,4,5,6"
Merge Q2653,"1,2,3,4,5"
Merge Q266,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q267,"1,2,3,4,5,6,7,9,10,11"
Merge Q2670,"1,2,3,4,5,6"
Merge Q2672,"1,2,3,4"
Merge Q2673,"1,2,3,4"
Merge Q2678,"1,2,3"
Merge Q269,"1,2,3,4,5,6,8,9,10,11,12,13"
Merge Q27,"1,2,3,4,7,8"
Merge Q2705,"1,2,3,4,5,6,7,8"
Merge Q2710,"1,2,3,4,6,7,8"
Merge Q2711,"1,2,4,5"
Merge Q272,"1,2,3,4,6,7,8,9,11,12"
Merge Q2724,"1,2,3,4,5,6,7"
Merge Q2725,"1,2,3,4,5,6"
Merge Q273,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16"
Merge Q2742,"1,2,3,4,5,6,7,8,9"
Merge Q275,"1,2,3,4,5,7,8,9,10,11"
Merge Q276,"1,2,3,4,5,6,7,8"
Merge Q2772,"1,2,3,4"
Merge Q278,"1,2,4,5,6,7,8,10,11,12"
Merge Q2780,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q2787,"1,2,3,4,5"
Merge Q279,"1,2,3,4,5,6,7,8,11"
Merge Q2796,"1,2,3,4,5,6"
Merge Q281,"1,2,3,5,6,7,8,9,10,11,13"
Merge Q2813,"1,2,3,4,5"
Merge Q2814,"1,2,3,4,5,6,7,8"
Merge Q2820,"1,2,3,4,5,6,7,8"
Merge Q2831,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q2834,"1,2,3,4,5,6"
Merge Q2836,"1,2,3,4,5,6,7"
Merge Q2838,"1,2,3,5"
Merge Q284,"1,2,3,4,6,7,8,9,10,12,14,16"
Merge Q285,"1,2,3,4,5,6,8,9,10"
Merge Q2855,"1,2,3,4,5,6,7,8"
Merge Q286,"1,2,3,4,5,6,8,9,10,11"
Merge Q287,"1,2,3,4,5,6,7,8,10,11"
Merge Q2870,"1,2,3,4,5,6,7,8"
Merge Q288,"1,2,3,4,5,6,7,8,9,10"
Merge Q2880,"1,2,3,4,5,6"
Merge Q2896,"1,2,3,4,5,6"
Merge Q2898,"1,2,3,4,5,6,7,8,9"
Merge Q29,"1,2,3,5,6,7,8,9,10,11,13,14,15"
Merge Q290,"1,2,3,4,5,6,7,8,9,10"
Merge Q291,"1,2,3,4,6,7,8,9,10,12,13,14,15,17,18,19,20,21"
Merge Q292,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q2921,"1,2,3,4,5"
Merge Q293,"1,2,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21"
Merge Q2936,"1,2,3,4,5,6"
Merge Q295,"1,2,4,6,7,8,10,11,12,13,14,15,16,18,19"
Merge Q2958,"1,2,3,4"
Merge Q2962,"1,2,3,4,5,6,7,8"
Merge Q297,"1,2,3,4,5,6,7,8"
Merge Q2973,"1,2,3,4,5,6,7,8,9"
Merge Q298,"1,2,3,4,5,6,7"
Merge Q2984,"1,2,3,4,5,6,7,8,9"
Merge Q2988,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q2997,"1,2,3,4,5,6,7"
Merge Q2998,"1,2,3,4"
Merge Q3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q30,"1,2,3,4,5"
Merge Q300,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
Merge Q3000,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3001,"1,2,3,4"
Merge Q3002,"1,2,3,4,5,6,7,8,9,10"
Merge Q3003,"1,2,3,4,5,6,7,8,9,10,11,12,14,15"
Merge Q3009,"1,2,3,4,5,6,7,8,9"
Merge Q301,"1,2,3,4,5,6,7,8,9,11,12,13"
Merge Q3014,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q3015,"1,2,3,4,5,6,7"
Merge Q3016,"1,2,3,4"
Merge Q3019,"1,2,3,4,5,6,7"
Merge Q302,"1,2,3,4,5,6,7,8,9,10,11,13,14,15"
Merge Q3020,"1,2,3,4,5"
Merge Q3026,"1,2,3,4,5,6,7,8"
Merge Q303,"1,2,3,4,5,6,7,8,9,10,11,13,14"
Merge Q3033,"1,2,3,4,5"
Merge Q3036,"1,2,3,4,5,6,7,8"
Merge Q304,"1,2,3,4,5,6,7,8,10,11,12,13,15"
Merge Q3048,"1,2,3,4,5,6,7,8,9"
Merge Q3058,"1,2,3,4,5,6"
Merge Q306,"1,2,3,4,5,6,7,8,9,10,11,13"
Merge Q3068,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q307,"1,2,3,4,5,7,8,9,10,12,13,14"
Merge Q3070,"1,2,3,4,5,7,8"
Merge Q308,"1,2,3,5,6,7,9,10"
Merge Q310,"1,2,3,4"
Merge Q3105,"1,2,3,4,5,6,7,8"
Merge Q311,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q3111,"1,2,3"
Merge Q3118,"1,2,3,4,5,6"
Merge Q312,"1,2,3,4,6,7,8,9,10,11,13,14,15"
Merge Q313,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q3134,"1,2,3,4,5,6,7"
Merge Q3136,"1,2,3,4,5"
Merge Q3147,"1,2,3,4,5"
Merge Q315,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q3154,"1,2,3,4,5,6,7"
Merge Q3156,"1,2,3,4,5,6"
Merge Q3165,"1,2,3,4,5,6"
Merge Q317,"1,2,3,4,5,7,8,9,10,11,12,14,15,16,18,19,20,21"
Merge Q3179,"1,2,3"
Merge Q3184,"1,2,3,4"
Merge Q319,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3192,"1,2,3,4,5,6,7"
Merge Q3196,"1,2,3,4,5,6,7,8,9"
Merge Q32,"1,2,3,4,5,6,8,10,11"
Merge Q320,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q3202,"1,2,3,4,5,6,7,8"
Merge Q321,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3211,"1,2,3"
Merge Q322,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3223,"1,2,3,4"
Merge Q3228,"1,2,3,4"
Merge Q323,"1,2,3,4,5,6,7,9,10,11,13,15"
Merge Q324,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3246,"1,2,3,4,5,6"
Merge Q3249,"1,2,3,4,5,6,7,8"
Merge Q325,"1,2,3,4,5,6,7,8,10"
Merge Q3253,"1,2,3,4"
Merge Q3262,"1,2,3,4,5"
Merge Q3272,"1,2,3,4,5"
Merge Q3278,"1,2,3,4,5"
Merge Q328,"1,2,3,4,5,6,7"
Merge Q3284,"1,2,3,4,5,6,7,9"
Merge Q3285,"1,2,3,4,5,6,7,8,9,10"
Merge Q3289,"1,2,3,4,5,7,8"
Merge Q3295,"1,2,3,4,5,6"
Merge Q3296,"1,2,3,4,5,6,7,8,9"
Merge Q3297,"1,2,3,4,5,6,7"
Merge Q330,"1,2,3,4,5,6,7,8,9,10"
Merge Q3305,"1,2,3,4,5,6,7"
Merge Q3310,"1,2,3,4,5"
Merge Q3316,"1,2,3,4,5,6,7"
Merge Q3326,"1,2,3,4"
Merge Q333,"1,2,4,5,6,8,9,10,11"
Merge Q3333,"1,2,3,4,5,6"
Merge Q3342,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q335,"1,2,3,5,6,7,8,9,10"
Merge Q3350,"1,2,3,5"
Merge Q3351,"1,2,3,4,5,6"
Merge Q3356,"1,2,3,4"
Merge Q3359,"1,2,3,4,5,6,7"
Merge Q336,"1,2,3,4,5,6,8,9,10,11,12,13,14,15"
Merge Q3369,"1,2,3,4,5,6"
Merge Q337,"1,2,3,5,6"
Merge Q3370,"1,2,3,4,5,6"
Merge Q3375,"1,2,3,4,5,6,7"
Merge Q3377,"1,2,3,4"
Merge Q3387,"1,2,3,4,5,6,7"
Merge Q339,"1,2,3,4,5,6,7,8,9,10"
Merge Q3394,"1,2,3,4,5,6,7,8,9"
Merge Q34,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q3401,"1,2,3,4,5,6,7,8,9"
Merge Q3404,"1,2,3,4,5,6,7"
Merge Q341,"1,2,3,4,5,6,7,8"
Merge Q3413,"1,2,3,4,5,6,7,8"
Merge Q3415,"1,2,3,4,5,6,7,8,9"
Merge Q3416,"1,2,3,4,5,6"
Merge Q3417,"1,2,3,4,5,6,7,8"
Merge Q342,"1,2,3,4,5,6,7,8,9"
Merge Q3420,"1,2,3,5,6,7"
Merge Q3427,"1,2,3,4,5,6"
Merge Q343,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q3430,"1,2,3,4,5,6,7"
Merge Q3440,"1,2,3,4,5"
Merge Q3442,"1,2,3,4,5,6,7,8"
Merge Q345,"1,2,3,5,6,7,8,9,10,11,12,14"
Merge Q3453,"1,2,3,4,5"
Merge Q3455,"1,2,3,4,5,6"
Merge Q3461,"1,2,3,4,5,6,7"
Merge Q3462,"1,2,3,4,5,6,7,8"
Merge Q3466,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3467,"1,2,3,4,5,6,7"
Merge Q347,"1,2,3,4,5,6"
Merge Q3478,"1,2,3,4,5,6,7,8"
Merge Q3486,"1,2,3,4"
Merge Q350,"1,2,3,4,5,7,8,9"
Merge Q3506,"1,2,3,4,5,6,7"
Merge Q3509,"1,2,3,4,5,6,7,8"
Merge Q352,"1,2,3,4,5,7,8,9,10,12,13,14"
Merge Q3520,"1,2,3,4,5,6,7"
Merge Q3522,"1,2,3"
Merge Q353,"1,2,3,4,5,6,7,8,9"
Merge Q354,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,21"
Merge Q355,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q356,"1,3,4,6,7,8"
Merge Q357,"1,2,3,4,6,7,8,9,11,12"
Merge Q360,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,20,21"
Merge Q361,"1,2,3,4,5,6,7,8"
Merge Q362,"1,2,3,4,5,7,8,9,10,12,13,15"
Merge Q364,"1,2,4,5,6,7,8,9,10,11,12,14"
Merge Q365,"1,2,3,4,6,7,8,10,11,12"
Merge Q366,"1,2,3,4,5,6,7,9"
Merge Q369,"1,2,3,5,6,7,8,9,10,11,12,13"
Merge Q371,"1,2,3,4,5,6,7"
Merge Q373,"1,2,3,4,5,6,7,8"
Merge Q375,"1,2,3,4,5,6,8,9,10"
Merge Q376,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3783,"1,2,3,4,5,6,7,8,9,10"
Merge Q3784,"1,2,3,4,5"
Merge Q3785,"1,2,3,4,5"
Merge Q3786,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3787,"1,2,3,4,5,6,7,8,9"
Merge Q3789,"1,2,3,4,5,6,7,8,9,10"
Merge Q3791,"1,2,3,4,5"
Merge Q3792,"1,2,3,4"
Merge Q3793,"1,2,3,4,5"
Merge Q3795,"1,2,3,4,5,6,7"
Merge Q3797,"1,2,3,4,5"
Merge Q38,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q3800,"1,2,3"
Merge Q3801,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q3803,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q3804,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q3806,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3807,"1,2,3,4,5,6"
Merge Q3808,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q381,"1,2,3,4,6,7,8,9,10,11,12,13,14,16"
Merge Q3810,"1,2,3,4,5"
Merge Q3811,"1,2,3,4,5,6,7"
Merge Q3812,"1,2,3"
Merge Q3813,"1,2,3,4,5,6,7"
Merge Q3815,"1,2,3,4"
Merge Q3816,"1,2,3,4,5,6,7,8,9"
Merge Q3817,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q3818,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q3819,"1,2,3,4,5,6,7,8"
Merge Q382,"1,2,3,4,5,6,7,9,10,11"
Merge Q3820,"1,2,3,4,5,6,7,8,9,10"
Merge Q3821,"1,2,3,4,5"
Merge Q3823,"1,2,3,4,5,6,7,8,9"
Merge Q3826,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3827,"1,2,3,4"
Merge Q3828,"1,2,3,4,5,6,7"
Merge Q3829,"1,2,3,4"
Merge Q383,"1,2,3,4,6,7,8,9"
Merge Q3831,"1,2,3,4,5,6,7"
Merge Q3833,"1,2,3,4,5,6,7,9,10"
Merge Q3835,"1,2,3,4,5"
Merge Q3838,"1,2,3,4,5,6,7"
Merge Q3839,"1,2,3,4,5"
Merge Q384,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3840,"1,2,3,4,5,6,7"
Merge Q3841,"1,2,3,4,5,6,7,8"
Merge Q3843,"1,2,3,4,5,6,7,8,9"
Merge Q3845,"1,2,3,4,5,6,7,8"
Merge Q3848,"1,2,3,4,5,6,7,8,9"
Merge Q3849,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q3850,"1,2,3,4,5,6"
Merge Q3853,"1,2,3,4,5,6,7,8,9,10"
Merge Q3854,"1,2,3,4,5,6"
Merge Q3858,"1,2,3,4"
Merge Q3860,"1,2,3"
Merge Q3861,"1,2,3"
Merge Q3862,"1,2,3,4"
Merge Q3864,"1,2,3"
Merge Q3866,"1,2,3,4,5,6,7"
Merge Q3867,"1,2,3"
Merge Q3869,"1,2,3,4,5"
Merge Q3870,"1,2,3,4"
Merge Q3871,"1,2,3,4,5"
Merge Q3872,"1,2,3,4,5"
Merge Q3873,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3874,"1,2,3,4"
Merge Q3875,"1,2,3,4,5,6,7,8,9"
Merge Q3876,"1,2,3,4,5,6,7,8"
Merge Q3877,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3878,"1,2,3,4,5,6,7"
Merge Q3879,"1,2,3,4,5,6,7,8,9"
Merge Q3882,"1,2,3,4,5,6,7"
Merge Q3883,"1,2,3,4,5,6,7,8"
Merge Q3884,"1,2,3,4"
Merge Q3885,"1,2,3"
Merge Q3888,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3889,"1,2,3,4,5,6,7,8,9,10"
Merge Q3894,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q3897,"1,2,3"
Merge Q3898,"1,2,3,4,5"
Merge Q3899,"1,2,3,4,5,6,7"
Merge Q3902,"1,2,3,4,5,6,7,8,9,10"
Merge Q3903,"1,2,3,4,5,6,7,8"
Merge Q3904,"1,2,3,4,5,6,7"
Merge Q3905,"1,2,3,4,5"
Merge Q3906,"1,2,3,4,5"
Merge Q3907,"1,2,3,4,5,6,7,8"
Merge Q3908,"1,2,3"
Merge Q3910,"1,2,3,4"
Merge Q3911,"1,2,3,4,5,6,7"
Merge Q3912,"1,2,3,4,5,6,7,8"
Merge Q3913,"1,3,4"
Merge Q3915,"1,2,3,4"
Merge Q3917,"1,2,3,4,5,6"
Merge Q3918,"1,2,3,4,5,6,7,8,9"
Merge Q3919,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q3920,"1,2,3,4,5,6,7"
Merge Q3921,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3922,"1,2,3,4,5,6,7"
Merge Q3924,"1,2,3,4,5,6,7"
Merge Q3926,"1,2,3,4,5,6,7,8"
Merge Q3927,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3928,"1,2,3,4,5,6,7,8,9,10"
Merge Q3930,"1,2,3,4"
Merge Q3932,"1,2,3,4,5,6,7,8"
Merge Q3933,"1,2,3,4,5,6"
Merge Q3934,"1,2,3,4,5,6,7,8"
Merge Q3936,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q3937,"1,2,3,4,5,6,7"
Merge Q3939,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q394,"1,2,3,5,6,7,8"
Merge Q3940,"1,2,3,4,5"
Merge Q3941,"1,2,3,4,5,6,7"
Merge Q3942,"1,2,3,4,5"
Merge Q3943,"1,2,3,4,5,6,7,8,9,10"
Merge Q3944,"1,2,3"
Merge Q3945,"1,2,3,4,5"
Merge Q3946,"1,2,3,4"
Merge Q3947,"1,2,3,4,5,6,7,8"
Merge Q3948,"1,2,3,4,5"
Merge Q3949,"1,2,3,4"
Merge Q395,"1,2,3,4,5"
Merge Q3950,"1,2,3,4,5,6,7,8"
Merge Q3951,"1,2,3"
Merge Q3952,"1,2,3"
Merge Q3953,"1,2,3,4,5,6,7,8,9"
Merge Q3956,"1,2,3,4,5,6,7"
Merge Q3957,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3958,"1,2,3,4,5,6,7"
Merge Q396,"1,2,3,4,5,6,7,8,9"
Merge Q3961,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3962,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3964,"1,2,3,4,5,6,7,8,9"
Merge Q3965,"1,2,3"
Merge Q3966,"1,2,3,4,5,6,7,8"
Merge Q3967,"1,2,3,4"
Merge Q3968,"1,2,3,4,5"
Merge Q3969,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q397,"1,2,4,5,7,8,9,10"
Merge Q3970,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q3971,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q3973,"1,2,3"
Merge Q3974,"1,2,3,4,5"
Merge Q3975,"1,2,3,4"
Merge Q3976,"1,2,3,4,5,6,7"
Merge Q3977,"1,2,3,4,5,6,7,8,9"
Merge Q3979,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q3980,"1,2,3,4,5"
Merge Q3982,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q3983,"1,2,3,4,5"
Merge Q3984,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q3985,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q3986,"1,2,3,4,5,6"
Merge Q3989,"1,2,3,4,5,6,7"
Merge Q399,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q3991,"1,2,3,4,5,6"
Merge Q3992,"1,2,3,4,5,6,7,8,9,10"
Merge Q3993,"1,2,3,4,5,6,7,8"
Merge Q3994,"1,2,3,4,5,6,7"
Merge Q3996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q3997,"1,2,3,4,5"
Merge Q3999,"1,2,3,4,5"
Merge Q4,"1,2,3,4,5,6"
Merge Q400,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q4000,"1,2,3,4"
Merge Q4001,"1,2,3,4"
Merge Q4002,"1,2,3,4,5,6,7,8"
Merge Q4004,"1,2,3,4,5,6"
Merge Q4005,"1,2,3,4,5,6"
Merge Q4007,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q4009,"1,2,3,4,5,6,7,8,9,10"
Merge Q4010,"1,2,3,4,5,6,7"
Merge Q4011,"1,2,3"
Merge Q4012,"1,2,3,4,5,6"
Merge Q4013,"1,2,3,4,5,6"
Merge Q4015,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q4018,"1,2,3,4,5,6,7,8,9,10"
Merge Q4019,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q4020,"1,2,3,4,5,6,7,8,9,10"
Merge Q4022,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q4023,"1,2,3,4,5,6,7"
Merge Q4024,"1,2,3,4,6,7,8,9,10,11"
Merge Q4026,"1,2,3,4,5,6,7"
Merge Q4027,"1,2,3,4,5,6"
Merge Q4028,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q4030,"1,2,3,4,5,6,7"
Merge Q4032,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q4033,"1,2,3,4,5,6,7"
Merge Q4034,"1,2,3,4,5,6,7,8,9,10"
Merge Q4035,"1,2,3,4,5,6,7,8"
Merge Q4036,"1,2,3,4"
Merge Q4037,"1,2,3,4"
Merge Q4038,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q4039,"1,2,3"
Merge Q404,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q4040,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q4041,"1,2,3,4"
Merge Q4045,"1,2,3,4"
Merge Q4046,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q4048,"1,2,3,4"
Merge Q4049,"1,2,3,4,5,6,7"
Merge Q4051,"1,2,3,4,5,6,7,8"
Merge Q4052,"1,2,3,4,5,6,7,8,9"
Merge Q4053,"1,2,3,4,5,6,7,8,9,10"
Merge Q4054,"1,2,3,4,5"
Merge Q406,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18"
Merge Q408,"1,2,3,4,5,6,7,8,9"
Merge Q410,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q412,"1,2,3,4,5,6,7,8"
Merge Q413,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q414,"1,2,3,4,5,6,7,8"
Merge Q415,"1,2,3,4,5,6,7,8,9,10,12"
Merge Q417,"1,2,3,4,5,6,7,8"
Merge Q418,"1,2,5,6,8,9,10"
Merge Q42,"1,2,3,5,6,7,9,10,11,12,13,14"
Merge Q420,"1,2,3,5,6,7,8,9,10,12,13"
Merge Q421,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q422,"1,2,3,4,5,6,7,8,9"
Merge Q423,"1,2,4,5"
Merge Q425,"1,2,3,4,5,6,7,9,10,12"
Merge Q426,"1,2,3,4,5,9,12,13,14,15,16"
Merge Q427,"1,2,3,4,5,6,7,8,9,10"
Merge Q429,"1,2,3,4,5,6,7,8,10,11,12,13"
Merge Q43,"1,2,3,4,5,6,8,9"
Merge Q430,"1,2,3,4,5,7,8,10,11"
Merge Q431,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q432,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
Merge Q433,"1,2,3,4,5,6,7,8,9,10"
Merge Q434,"1,2,3,4,5,6,7,8,9"
Merge Q435,"1,2,3,4,5,6,8,9,10,11,12"
Merge Q436,"1,2,3,4,5,7,8,9,10"
Merge Q437,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q438,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q441,"1,2,3,4,6,7,8,10,11"
Merge Q444,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q445,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q446,"1,2,3,4,6,7,8,9"
Merge Q447,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q448,"1,2,3,5,6,7,8,10,11"
Merge Q45,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q450,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q451,"1,2,3,4,5,7,8,9"
Merge Q452,"1,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19"
Merge Q454,"1,2,3,4,5,6,7"
Merge Q457,"1,2,3,4,5,6,7,8,9,10"
Merge Q459,"1,2,3,4,5,6,7,8"
Merge Q463,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q465,"1,2,3,5,6,7,8,9,11"
Merge Q468,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q469,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17"
Merge Q470,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q471,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q474,"1,2,3,4,5,6,7,9,10,11"
Merge Q478,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q479,"1,2,3,4,5,6,7,8,9"
Merge Q480,"1,2,3,4,5,6,8,9,10,11,12,13,15,16,18"
Merge Q481,"1,2,3,4,5,6"
Merge Q486,"1,2,3,4,5,6,7,8,9,10,12,13,14"
Merge Q487,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q489,"1,3,4,5,6,8"
Merge Q49,"1,2,3,5,6,7,8,9,10,12,13,14,15"
Merge Q491,"1,2,3,4,5,6,7,8,10,11"
Merge Q492,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18"
Merge Q495,"1,2,3,4,6,7,8,9,10,11,13,14"
Merge Q496,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q498,"1,2,3,4,5,6,7,8"
Merge Q50,"1,2,3,4,6,7,8,9,10,11"
Merge Q500,"1,2,3,5,6,7,8,9,10,11,13,14"
Merge Q501,"1,2,3,4,6,7"
Merge Q502,"1,2,3,5,6,7,8"
Merge Q507,"1,2,3,4,5"
Merge Q508,"1,2,3,5,6"
Merge Q51,"1,2,3,4,5,6,8,9,10,11,12,14"
Merge Q512,"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18"
Merge Q513,"1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20"
Merge Q514,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q515,"1,2,3,4,5,6,8"
Merge Q516,"1,2,3,4,6,7,8,9,10,11,12,14"
Merge Q518,"1,2,3,4,5,6,7,8,9"
Merge Q519,"1,2,3,4,5,6,8,9,10,11,12,13,14,16"
Merge Q52,"1,2,3,4,5,7,8,9,10,11,12,13,14,16"
Merge Q520,"1,2,3,4,5,6,7,8,9,10"
Merge Q523,"1,2,4,5,6,7,8,9,10,11,12"
Merge Q524,"1,2,3,4,6,7,8,10,11,12"
Merge Q527,"1,2,3,4,5,6,7,8,9,11"
Merge Q528,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q532,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q533,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q534,"1,2,3,4,5,6,7,9,10"
Merge Q536,"1,2,3,4,5,6,7,9,10,11,13,15,16,17,18"
Merge Q537,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q539,"1,2,3,4,6,7,8,10,11,12,13,14,15"
Merge Q54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q542,"1,2,3,4,5,6,7"
Merge Q544,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q545,"1,2,4"
Merge Q546,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q548,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q549,"1,2,3,5,6,7,8,9,10,11,12"
Merge Q55,"1,2,3,5,6,7,8,9,10,12"
Merge Q550,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q551,"1,2,3,4,6,7,8,9,10,11,12,14,15"
Merge Q552,"1,2,3,4,5,7,8,9,10"
Merge Q553,"1,2,3,4,5,6,7"
Merge Q558,"1,2,3,4,5,6,7,8,9"
Merge Q56,"1,2,3,4,5,6,7,8,9,11,12,13"
Merge Q560,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
