QA_ID_std,14B_sentence_number,4k_ID_std,ID_corr,human_sentence_ids,data_source_corr,sentence_number_corr,keep_k
Merge Q1266,"1,2,3,4,5,6,7,8",Merge Q1266,ID1249,"2, 5, 6, 7, 8",medbullets,8.0,5.0
Merge Q1267,"1,2,3,4,5,6,7,8",Merge Q1267,ID0861,"1, 2, 5, 6, 7",medbullets,8.0,5.0
Merge Q1268,"1,2,3,4,5,6",Merge Q1268,ID1329,"1, 2, 4, 5, 6",medbullets,6.0,5.0
Merge Q1269,"1,2,3,4,5,6,7,8,9",Merge Q1269,ID0824,"1, 3",medbullets,9.0,2.0
Merge Q1270,"1,2,3,4,5,6",Merge Q1270,ID0101,"1, 2, 3, 5",medbullets,6.0,4.0
Merge Q1271,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1271,ID1278,"2, 4, 5, 9, 11",medbullets,11.0,5.0
Merge Q1273,"1,2,3,4,5,6,7,8,9,10",Merge Q1273,ID0623,"1, 2, 3, 4, 9",medbullets,11.0,5.0
Merge Q1274,"1,2,3,4,5,6,7,8,9",Merge Q1274,ID1345,"1, 2, 3, 7",medbullets,9.0,4.0
Merge Q1276,"1,2,3,4,5,6,7,8,9",Merge Q1276,ID1636,"1, 2, 3, 4, 5, 6, 7",medbullets,9.0,6.0
Merge Q1277,"1,2,3",Merge Q1277,ID0067,"2, 3",medbullets,3.0,2.0
Merge Q1279,"1,2,3,4,5,6,7,8",Merge Q1279,ID0825,"1, 3, 6, 9",medbullets,9.0,4.0
Merge Q1282,"1,2,3,4,5,6,7,8",Merge Q1282,ID1838,"1, 2, 3, 4, 8, 9",medbullets,9.0,5.0
Merge Q1285,"1,2,3,4,5,6,7,8",Merge Q1285,ID1768,"1, 2",medbullets,8.0,2.0
Merge Q1286,"1,2,3,4,5,6,7,8,9",Merge Q1286,ID0599,"1, 2, 3, 6, 7, 8, 9",medbullets,9.0,7.0
Merge Q1287,"1,2,3,4,5,6,7,8",Merge Q1287,ID0082,"1, 2, 3, 4, 5",medbullets,8.0,5.0
Merge Q1288,"1,2,3,4,5,6,7,8",Merge Q1288,ID0526,"1, 4, 9",medbullets,9.0,3.0
Merge Q1290,"1,2,3,4,5,6,7,8",Merge Q1290,ID1313,"1, 2, 6",medbullets,8.0,3.0
Merge Q1291,"1,2,3,4,5,6,7,8",Merge Q1291,ID1552,"1, 2, 3, 5, 6, 7, 8",medbullets,8.0,7.0
Merge Q1292,"1,2,3,4,5,6,7",Merge Q1292,ID0396,"1, 2, 5",medbullets,7.0,3.0
Merge Q1293,"1,2,3,4,5,6,7,8",Merge Q1293,ID0382,"1, 2, 3",medbullets,8.0,3.0
Merge Q1295,"1,2,3,4,5,6,7,8,9,10",Merge Q1295,ID1666,"1, 4, 5, 6, 7, 8, 10",medbullets,10.0,7.0
Merge Q1296,"1,2,3,4,5,6,7,8",Merge Q1296,ID1371,"1, 3, 6, 8",medbullets,8.0,4.0
Merge Q1297,"1,2,3,4,5,6,7,8,9,10",Merge Q1297,ID1693,"1, 2, 6, 7, 8, 9",medbullets,10.0,6.0
Merge Q1298,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1298,ID0833,"1, 4, 5, 6",medbullets,12.0,4.0
Merge Q1300,"1,2,3,4,5,6,7,8,9",Merge Q1300,ID0309,"1, 4",medbullets,9.0,2.0
Merge Q1301,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1301,ID0901,"1, 2, 3, 4, 5, 6, 10, 11, 12, 13",medbullets,13.0,10.0
Merge Q1303,"1,2,3,4,5,6,7,8",Merge Q1303,ID0601,8,medbullets,8.0,1.0
Merge Q1304,"1,2,3,4,5,6,7,8,9",Merge Q1304,ID1882,"1, 4, 5, 6, 7",medbullets,9.0,5.0
Merge Q1306,"1,2,3,4,5,6,7,8,9",Merge Q1306,ID0784,"1, 2, 5, 7, 8, 9",medbullets,9.0,6.0
Merge Q1309,"1,2,3,4,5,6,7,8,9,10",Merge Q1309,ID1668,"1, 2, 3, 5, 6, 7, 8, 9, 10",medbullets,10.0,9.0
Merge Q1312,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1312,ID0845,"1, 3, 4, 6, 7, 8, 10, 11",medbullets,11.0,8.0
Merge Q1314,"1,2,3,4,5,6,7,8,9",Merge Q1314,ID0330,"1, 2, 3",medbullets,9.0,3.0
Merge Q1316,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1316,ID1565,"1, 2, 4, 5",medbullets,11.0,4.0
Merge Q1317,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1317,ID0144,"1, 2, 3, 4, 12",medbullets,13.0,5.0
Merge Q1318,"1,2,3,4,5",Merge Q1318,ID0028,"1, 2, 3, 5, 6",medbullets,6.0,5.0
Merge Q1319,"1,2,3,4,5,6,7,8",Merge Q1319,ID1541,"1, 2, 5, 6, 7, 8, 9",medbullets,9.0,7.0
Merge Q132,"1,2,3,4,5,6,8,9,10,11,12,13,14,16,17,19",Merge Q132,ID1402,"1, 2, 3, 7, 8, 10, 11, 12, 15, 18, 19",jama,19.0,11.0
Merge Q1321,"1,2,3,4,5,6,7",Merge Q1321,ID0473,"1, 2, 4",medbullets,7.0,3.0
Merge Q1322,"1,2,3,4,5,6,7,8,9",Merge Q1322,ID0363,"1, 2, 4, 5, 6, 7",medbullets,9.0,6.0
Merge Q1323,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1323,ID1738,"1, 2, 3, 4, 5",medbullets,11.0,5.0
Merge Q1324,"1,2,3,4,5,6,7,8",Merge Q1324,ID1526,"1, 2, 3, 4, 6, 7",medbullets,8.0,6.0
Merge Q1325,"1,2,3,4,5,6,7,8,9,10",Merge Q1325,ID1938,"1, 2, 3, 5, 6, 7, 10",medbullets,10.0,7.0
Merge Q1328,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1328,ID0535,"1, 2, 3, 4, 9, 10, 11, 12, 13",medbullets,13.0,9.0
Merge Q1329,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1329,ID0503,"1, 6, 7, 8, 9, 11",medbullets,12.0,6.0
Merge Q1330,"1,2,3,4,5,6,7,8,9,10",Merge Q1330,ID0162,"1, 2, 8, 10",medbullets,10.0,4.0
Merge Q134,"1,2,3,5,6,7,8",Merge Q134,ID0130,"1, 5, 6, 7",jama,9.0,4.0
Merge Q136,"1,2,3",Merge Q136,ID1193,"1, 3",jama,4.0,2.0
Merge Q137,"1,3,4,6,7,8,9,10,11,12",Merge Q137,ID1070,"1, 3, 4, 5, 6, 7",jama,12.0,6.0
Merge Q138,"1,2,3,4,6,7,8",Merge Q138,ID1204,"1, 2, 3, 6, 7",jama,8.0,5.0
Merge Q1395,"1,2,3,4,5,6",Merge Q1395,ID1962,"1, 2, 4, 5, 6",medxpert,6.0,5.0
Merge Q140,"1,2,3,4,5,6,7,8",Merge Q140,ID1011,"1, 2, 7, 8, 10, 11, 12, 13",jama,13.0,8.0
Merge Q1400,"1,2,3,4",Merge Q1400,ID0216,1,medxpert,4.0,1.0
Merge Q1401,"1,2,3,4,5,7,8,9,10,11,12",Merge Q1401,ID0698,"1, 2, 9, 10",medxpert,6.0,0.0
Merge Q1403,"1,2,3,4,5,6,7",Merge Q1403,ID0207,"2, 4, 5",medxpert,7.0,3.0
Merge Q1406,"1,2,3,4,5,6",Merge Q1406,ID0860,"1, 4, 5, 6",medxpert,6.0,4.0
Merge Q141,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Merge Q141,ID0478,"1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 17",jama,18.0,11.0
Merge Q1416,"1,2,3,4,5",Merge Q1416,ID0416,"1, 3, 4",medxpert,5.0,3.0
Merge Q142,"1,2,3,4,5,7,8,10,11,13,14",Merge Q142,ID1664,"1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14",jama,15.0,12.0
Merge Q1428,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1428,ID0831,"1, 13",medxpert,13.0,2.0
Merge Q1431,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q1431,ID1717,"4, 5, 9, 10, 12, 14",medxpert,14.0,6.0
Merge Q1434,"1,2,3,4,5,6,7,8",Merge Q1434,ID0581,"1, 6, 7",medxpert,8.0,3.0
Merge Q1440,"1,2,3,4,5,6,7,8,9",Merge Q1440,ID0957,"1, 3, 6, 7, 8, 9",medxpert,9.0,6.0
Merge Q145,"1,2,3,4,5,6,7",Merge Q145,ID1713,"1, 2, 3, 6, 7",jama,7.0,5.0
Merge Q1450,"1,2,3,4,5,6,7",Merge Q1450,ID1684,"3, 4",medxpert,7.0,2.0
Merge Q1455,"1,2,3,4,5,6",Merge Q1455,ID0248,"3, 4, 5, 6",medxpert,6.0,4.0
Merge Q146,"1,2,4,5,6,9,10,12,13",Merge Q146,ID0492,"1, 5, 6, 7, 8, 9, 12",jama,13.0,7.0
Merge Q147,"1,2,3,4,5,6,7,8,9,10",Merge Q147,ID0671,"1, 4, 5, 6, 7, 8, 9, 10",jama,10.0,8.0
Merge Q1473,"1,2,3,4,5",Merge Q1473,ID1915,"1, 2, 3",medxpert,5.0,3.0
Merge Q1474,"1,2,3,4,5,6,7,8,9",Merge Q1474,ID0919,"1, 7, 8, 9",medxpert,9.0,4.0
Merge Q148,"1,2,3,4",Merge Q148,ID0133,"1, 3",jama,5.0,2.0
Merge Q1480,"1,2,3,4,5,6,7",Merge Q1480,ID1947,"1, 2, 6, 7",medxpert,7.0,4.0
Merge Q1482,"1,2,3,4",Merge Q1482,ID1172,"3, 4",medxpert,4.0,2.0
Merge Q1486,"1,2,3,4,5,6,7,8,9,10",Merge Q1486,ID1009,"1, 2, 3, 4, 5, 8, 9, 10",medxpert,10.0,8.0
Merge Q1489,"1,2,3,4,5,6,7,8",Merge Q1489,ID1255,"1, 2, 3, 4, 5, 7, 8",medxpert,8.0,7.0
Merge Q149,"1,2,3,5,7,8,9",Merge Q149,ID0633,"1, 2, 5, 6, 9, 10",jama,10.0,6.0
Merge Q150,"1,2,4,5,6,9,10",Merge Q150,ID0191,"3, 4, 5, 7, 8, 9, 10",jama,10.0,7.0
Merge Q1500,"1,2,3,4,5,6,7,8",Merge Q1500,ID1892,"1, 2, 3, 6",medxpert,8.0,4.0
Merge Q1506,"1,2,3,4,5",Merge Q1506,ID0701,"1, 3",medxpert,5.0,2.0
Merge Q151,"1,2,3,5,6,7,8",Merge Q151,ID0412,"1, 2, 3, 4, 5, 6, 8",jama,9.0,7.0
Merge Q1510,"1,2,3,4,5,6,7,8",Merge Q1510,ID0509,"1, 6, 7",medxpert,8.0,3.0
Merge Q1514,"1,2,3,4,5,6,7,8,10",Merge Q1514,ID1311,"1, 4, 5, 7, 9, 10",medxpert,9.0,5.0
Merge Q1517,"1,2,3,4,5,6,7",Merge Q1517,ID1582,"1, 4, 5, 6, 7",medxpert,7.0,5.0
Merge Q1518,"1,2,3,4",Merge Q1518,ID1580,"1, 2, 4",medxpert,4.0,3.0
Merge Q152,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,21",Merge Q152,ID1289,"1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 19, 20",jama,24.0,18.0
Merge Q1521,"1,2,3,4,5,6,7,8",Merge Q1521,ID0042,"1, 2, 3, 5, 6, 7, 8",medxpert,8.0,7.0
Merge Q1526,"1,2,3,4",Merge Q1526,ID1687,"3, 4",medxpert,4.0,2.0
Merge Q1527,"1,2,3",Merge Q1527,ID1324,3,medxpert,3.0,1.0
Merge Q153,"1,2,3,4,6,7,8,9,10,11,12,14,15,16",Merge Q153,ID1236,"1, 2, 3, 6, 7, 13, 14, 15, 16",jama,16.0,9.0
Merge Q154,"1,2,3,4,5,6,7,8",Merge Q154,ID1909,"1, 2, 4, 6, 7",jama,8.0,5.0
Merge Q1543,"1,2,3,4,5,6",Merge Q1543,ID1280,"1, 2, 4, 5, 6",medxpert,6.0,5.0
Merge Q1550,"1,2,3,4,5,6",Merge Q1550,ID1189,"1, 2, 4",medxpert,6.0,3.0
Merge Q1554,"1,2,3,4,5,6,7,8,9",Merge Q1554,ID0815,1,medxpert,9.0,1.0
Merge Q1555,"1,2,3,4,5",Merge Q1555,ID1999,"1, 2, 5",medxpert,5.0,3.0
Merge Q1557,"1,2,3,4",Merge Q1557,ID0459,"1, 3",medxpert,4.0,2.0
Merge Q156,"1,2,3,4,5,6,7,8,9,10",Merge Q156,ID1416,"1, 2, 3, 4, 5, 7, 8, 10",jama,10.0,8.0
Merge Q1565,"1,2,3,4,5,6,7",Merge Q1565,ID0519,"1, 2, 3, 5, 6",medxpert,7.0,5.0
Merge Q1569,"1,2,3,4,5,6",Merge Q1569,ID1640,"1, 5",medxpert,6.0,2.0
Merge Q1577,"1,2,3,4,5,6,8",Merge Q1577,ID1141,"1, 2, 3, 4, 7",medxpert,8.0,4.0
Merge Q1581,"1,2,3,4,5,6,7",Merge Q1581,ID1698,6,medxpert,7.0,1.0
Merge Q1587,"1,2,3,4,5,6",Merge Q1587,ID1385,1,medxpert,6.0,1.0
Merge Q159,"1,2,4,5,6,7,8,10",Merge Q159,ID1021,"3, 4, 9, 10",jama,10.0,4.0
Merge Q1590,"1,2,3,4,5,6,7,8",Merge Q1590,ID0777,"1, 3, 4, 5, 6, 7, 8",medxpert,8.0,7.0
Merge Q1595,"1,3",Merge Q1595,ID0045,2,medxpert,3.0,1.0
Merge Q16,"1,2,3,4,5,6,7,8,9,11",Merge Q16,ID1234,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11",jama,11.0,10.0
Merge Q1607,"1,2,3,4",Merge Q1607,ID0151,"1, 3, 4",medxpert,4.0,3.0
Merge Q1608,"1,2,3,4,5,6,7,8,9,10",Merge Q1608,ID0843,"1, 2, 3, 7, 9",medxpert,10.0,5.0
Merge Q1621,"1,2,3,4,5,6",Merge Q1621,ID0229,"1, 7",medxpert,7.0,2.0
Merge Q1623,"1,2,3,4,5,6",Merge Q1623,ID0764,"1, 2, 5, 6",medxpert,6.0,4.0
Merge Q1624,"1,2,3,4,5,6,7,8,10,11",Merge Q1624,ID0595,"1, 2",medxpert,11.0,2.0
Merge Q163,"1,2,3,4,5,6,7,9,10,11,13",Merge Q163,ID0846,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13",jama,13.0,12.0
Merge Q164,"1,2,3,4,5,6,7,8,9,10,11",Merge Q164,ID0577,"1, 2, 3, 5, 6, 7, 8, 9, 11",jama,11.0,9.0
Merge Q1640,"1,2,3,4,5,6,7",Merge Q1640,ID1888,"5, 6, 7",medxpert,7.0,3.0
Merge Q1645,"1,2,3,4,5",Merge Q1645,ID1957,"1, 2, 4",medxpert,5.0,3.0
Merge Q1647,"1,2,3,4,5,6,7,9,10",Merge Q1647,ID1773,"1, 4, 8, 9",medxpert,8.0,2.0
Merge Q1648,"1,2,3,4,5",Merge Q1648,ID1758,"1, 4, 5",medxpert,5.0,3.0
Merge Q165,"1,2,3,4,5,6,7,8,9",Merge Q165,ID1841,"1, 4, 5, 8, 9, 10",jama,10.0,6.0
Merge Q1651,"1,2,3,4,5,6,7",Merge Q1651,ID1074,"1, 5, 8",medxpert,8.0,3.0
Merge Q1656,"1,2,3,4",Merge Q1656,ID0293,"1, 3, 4",medxpert,4.0,3.0
Merge Q166,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q166,ID1139,"1, 2, 3, 4, 7, 8, 9, 10, 11, 13",jama,13.0,10.0
Merge Q1669,"1,2,3",Merge Q1669,ID0574,"2, 3",medxpert,3.0,2.0
Merge Q1671,"1,3,4,5,6,7,8",Merge Q1671,ID0137,"1, 3",medxpert,8.0,2.0
Merge Q1678,"1,2,3",Merge Q1678,ID0717,1,medxpert,3.0,1.0
Merge Q1684,"1,2,3,4",Merge Q1684,ID1066,"1, 4",medxpert,4.0,2.0
Merge Q169,"1,2,3,5,6,7,8,10,11,12,13,15,16,17,18,20",Merge Q169,ID0195,"1, 4, 5, 8, 10, 12, 18, 19, 20",jama,20.0,9.0
Merge Q1690,"1,2,3,4,5,6,7",Merge Q1690,ID1065,"1, 4",medxpert,7.0,2.0
Merge Q1692,"1,2,3,4,5,6,7,8",Merge Q1692,ID1980,"1, 7",medxpert,8.0,2.0
Merge Q17,"1,2,3,4,5,6,7,8,9",Merge Q17,ID1594,"1, 2, 5, 6, 7, 8, 9",jama,9.0,6.0
Merge Q170,"1,2,3,4,5,6,7,8,10,11,12",Merge Q170,ID0484,"1, 2, 3, 4, 5, 6, 10, 11, 12",jama,12.0,9.0
Merge Q1702,"1,2,3,4,5",Merge Q1702,ID1572,"1, 2, 3, 4",medxpert,5.0,4.0
Merge Q1703,"1,2,3,4,5,6,7,8",Merge Q1703,ID0941,"3, 5",medxpert,8.0,2.0
Merge Q1705,"1,2,3,4,5",Merge Q1705,ID0193,1,medxpert,5.0,1.0
Merge Q1706,"1,2,3,5,6,7",Merge Q1706,ID0702,"1, 2, 5, 6, 7",medxpert,4.0,2.0
Merge Q172,"1,2,3,4,5,6,7,8,9,10",Merge Q172,ID1320,"1, 3, 4, 5, 6, 7, 8, 9, 10",jama,10.0,9.0
Merge Q1721,"1,2,3,4,5,6,7,8",Merge Q1721,ID0605,"1, 7, 8",medxpert,8.0,3.0
Merge Q1728,"1,2,3,4,5,6,7,8",Merge Q1728,ID1825,"1, 2, 3, 4, 5, 7",medxpert,8.0,6.0
Merge Q173,"1,2,3,4,6,7,8,9,10,11,12",Merge Q173,ID0116,"1, 2, 4, 6, 8, 9, 10, 11",jama,12.0,8.0
Merge Q1731,"1,2,3,4,5,6",Merge Q1731,ID1886,"1, 2, 3, 6",medxpert,6.0,4.0
Merge Q174,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17",Merge Q174,ID0219,"1, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17",jama,17.0,13.0
Merge Q1743,"1,2,3,4,5",Merge Q1743,ID1923,"1, 3, 4, 5",medxpert,5.0,4.0
Merge Q1747,"1,2,3,4,5,6,7,8",Merge Q1747,ID0994,"1, 2, 3, 4, 5, 7, 8",medxpert,8.0,7.0
Merge Q1749,"1,2,3,4",Merge Q1749,ID0071,1,medxpert,4.0,1.0
Merge Q175,"1,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18",Merge Q175,ID0418,"2, 9, 16, 17, 18",jama,18.0,5.0
Merge Q1750,"1,2,3,5,6,7",Merge Q1750,ID0407,"1, 2, 3, 4, 5, 6",medxpert,4.0,3.0
Merge Q1757,"1,2,3,4,5",Merge Q1757,ID1294,"1, 5",medxpert,5.0,2.0
Merge Q1758,"1,2,3,4,5,6,7",Merge Q1758,ID0765,"1, 6, 7",medxpert,7.0,3.0
Merge Q176,"1,2,3,4,6,7,8,9",Merge Q176,ID1040,"1, 2, 3, 5, 7, 8",jama,9.0,6.0
Merge Q1765,"1,2,3,4,5,6,7,8",Merge Q1765,ID1776,"1, 2, 3, 7",medxpert,8.0,4.0
Merge Q178,"1,2,3,4,5,7,10,12",Merge Q178,ID0691,"1, 3, 5, 8, 10, 11, 12",jama,12.0,7.0
Merge Q1781,"1,2,3,4,5,6",Merge Q1781,ID0112,"1, 4, 5",medxpert,6.0,3.0
Merge Q1782,"1,2,3,4,5,6,7",Merge Q1782,ID1578,"1, 2, 3, 4, 6, 7",medxpert,7.0,6.0
Merge Q179,"1,2,3,4,5,6,9,10",Merge Q179,ID0483,"1, 2, 3, 6, 7, 8, 9, 11, 12",jama,12.0,9.0
Merge Q1796,"1,2,3,4",Merge Q1796,ID0770,4,medxpert,4.0,1.0
Merge Q18,"1,2,3,4,5,6,7,8",Merge Q18,ID0854,"1, 2, 3, 4, 8",jama,8.0,5.0
Merge Q180,"1,2,3,4,5,6,7,8,9,10,11",Merge Q180,ID0110,"1, 2, 3, 4, 5, 6, 7, 10, 11",jama,11.0,9.0
Merge Q1804,"1,2,3,4,5,6,7,8,9",Merge Q1804,ID0165,"3, 9",medxpert,9.0,2.0
Merge Q181,"1,2,3,4,5,6,7,8,9,10",Merge Q181,ID1099,"1, 2, 3, 7, 8, 9, 10, 11",jama,12.0,8.0
Merge Q182,"1,2,3,4,6,7,8,9,10,11,12,14,15",Merge Q182,ID0878,"1, 2, 3, 4, 6, 7, 8, 11, 14, 15",jama,15.0,10.0
Merge Q1828,"1,2,3,4,5,6,7,8",Merge Q1828,ID0303,"1, 4, 7, 8",medxpert,8.0,4.0
Merge Q1848,"1,2,3,4,5,6,7,8",Merge Q1848,ID1929,"1, 4, 6, 7, 8",medxpert,8.0,5.0
Merge Q1851,"1,2,3,4,5,6,7",Merge Q1851,ID1340,"1, 2",medxpert,7.0,2.0
Merge Q1854,"1,2,3,4,5,6,7",Merge Q1854,ID1722,"1, 2, 4, 5, 6, 7",medxpert,7.0,6.0
Merge Q1858,"1,2,3,4,5,6,7,8,9",Merge Q1858,ID1184,"1, 3, 4, 6, 8",medxpert,9.0,5.0
Merge Q1860,"1,2,3,4,5",Merge Q1860,ID1199,"1, 5",medxpert,5.0,2.0
Merge Q1868,"1,2,3,4,5,6,7",Merge Q1868,ID0357,"5, 6, 7",medxpert,7.0,3.0
Merge Q1871,"1,2,3,4,5,6,7,8,9",Merge Q1871,ID1924,"1, 3",medxpert,9.0,2.0
Merge Q1877,"1,2,3,4,5,6,7,8",Merge Q1877,ID1941,"1, 5, 7, 8",medxpert,8.0,4.0
Merge Q1888,"1,2,3,4,5,6,7",Merge Q1888,ID0902,"1, 2, 6, 7",medxpert,7.0,4.0
Merge Q189,"1,2,3,4,5,6,7,8",Merge Q189,ID1558,"1, 2, 4, 5, 6, 7",jama,8.0,6.0
Merge Q1905,"1,2,3,4,5,6,7,8",Merge Q1905,ID0758,"1, 2, 3, 5, 6, 7, 8",medxpert,8.0,7.0
Merge Q191,"1,2,3,4,6,7,8,9,10,11,12,13,14,15",Merge Q191,ID1680,"1, 6, 7, 11, 12, 13",jama,15.0,6.0
Merge Q1914,"1,2,3,4,5,6,7",Merge Q1914,ID1299,"1, 3, 5, 6, 7",medxpert,7.0,5.0
Merge Q1925,"1,2,3,4,5",Merge Q1925,ID0821,"1, 5",medxpert,5.0,2.0
Merge Q1928,"1,2,3,4,5,6,7,8,9",Merge Q1928,ID0397,"1, 6, 8",medxpert,9.0,3.0
Merge Q193,"1,2,3,4,5,7,8,9,10,12,13,15,16,17,18,19,20,21",Merge Q193,ID0323,"1, 2, 7, 8, 12, 13, 15, 19, 20",jama,22.0,11.0
Merge Q1937,"1,2,3,4,5,6,7",Merge Q1937,ID1559,"1, 2, 6, 7",medxpert,7.0,4.0
Merge Q1938,"1,2,3,4,5",Merge Q1938,ID1108,"1, 2",medxpert,5.0,2.0
Merge Q194,"1,2,3,4,5,6,7,8,9,10",Merge Q194,ID0990,"2, 3, 4, 5, 7, 10, 11",jama,11.0,7.0
Merge Q1940,"1,2,3,4,5,6,7",Merge Q1940,ID0737,"1, 3, 5, 6, 7",medxpert,7.0,5.0
Merge Q1942,"1,2,3,4,5,6,7,8,9",Merge Q1942,ID0786,"1, 4, 6, 7, 9",medxpert,9.0,5.0
Merge Q1949,"1,2,3,4,5,6,7,8",Merge Q1949,ID1593,"1, 2, 5, 6, 8",medxpert,8.0,5.0
Merge Q195,"1,2,3,4,5,7,8",Merge Q195,ID1951,"1, 2, 4, 6, 7, 8",jama,8.0,6.0
Merge Q1952,"1,2,3,4,5",Merge Q1952,ID0063,"2, 4, 5",medxpert,5.0,3.0
Merge Q1961,"1,2,3,4",Merge Q1961,ID1284,"1, 2, 4",medxpert,4.0,3.0
Merge Q1962,"1,2,3,4,5,6,7,8,9",Merge Q1962,ID0200,"1, 5, 6",medxpert,9.0,3.0
Merge Q197,"1,2,3,4,5,6,7,8",Merge Q197,ID0584,"1, 4, 5, 6, 7, 8",jama,8.0,6.0
Merge Q1974,"1,2,3,4,5",Merge Q1974,ID1779,"1, 3, 4, 5",medxpert,5.0,4.0
Merge Q1982,"1,2,3,4",Merge Q1982,ID1212,"1, 3, 4",medxpert,4.0,3.0
Merge Q199,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q199,ID0222,"1, 3, 5, 6, 7, 9, 10, 12",jama,12.0,8.0
Merge Q20,"1,2,3,4,5,6,8,10,11,12,13,14",Merge Q20,ID0444,"1, 7, 11, 12, 14",jama,14.0,5.0
Merge Q200,"1,2,3,4,5,6,8",Merge Q200,ID1453,"1, 2",jama,8.0,2.0
Merge Q2002,"1,2,3,4,5,6",Merge Q2002,ID0965,"1, 2, 7",medxpert,7.0,3.0
Merge Q2006,"1,2,3,4",Merge Q2006,ID0658,"2, 4",medxpert,4.0,2.0
Merge Q2009,"1,2,3,4",Merge Q2009,ID0992,"1, 3, 4",medxpert,4.0,3.0
Merge Q2027,"1,2,3",Merge Q2027,ID1834,1,medxpert,3.0,1.0
Merge Q2028,"1,2,3,4,5",Merge Q2028,ID0680,"1, 2, 3, 4",medxpert,5.0,4.0
Merge Q2031,"1,2,3,4",Merge Q2031,ID1058,"1, 2, 4",medxpert,4.0,3.0
Merge Q2034,"1,2,3,4,5,6,7",Merge Q2034,ID1117,1,medxpert,7.0,1.0
Merge Q2036,"1,2,3,4,5,6",Merge Q2036,ID1625,"1, 2, 4",medxpert,6.0,3.0
Merge Q204,"1,2,3,4,5,6,7,8,9",Merge Q204,ID1790,"1, 2, 3, 4, 5, 7, 8, 9",jama,9.0,8.0
Merge Q205,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",Merge Q205,ID0479,"1, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16",jama,16.0,11.0
Merge Q2050,"1,2,3,4,5",Merge Q2050,ID0934,"1, 2, 4, 5",medxpert,5.0,4.0
Merge Q2053,"1,2,3,4",Merge Q2053,ID1746,4,medxpert,4.0,1.0
Merge Q2067,"1,2,3,4",Merge Q2067,ID0141,"2, 3",medxpert,4.0,2.0
Merge Q2072,"1,2,3,4",Merge Q2072,ID1396,"2, 3",medxpert,4.0,2.0
Merge Q2077,"1,2,3",Merge Q2077,ID1309,"1, 3",medxpert,3.0,2.0
Merge Q208,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Merge Q208,ID1175,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",jama,18.0,16.0
Merge Q2083,"1,2,3,4,5,6,7",Merge Q2083,ID1395,"1, 2, 3, 4, 6, 7",medxpert,7.0,6.0
Merge Q2085,"1,2,3,4,5,6",Merge Q2085,ID0317,"1, 2, 3, 4",medxpert,6.0,4.0
Merge Q2088,"1,2,3,4,5",Merge Q2088,ID1151,1,medxpert,5.0,1.0
Merge Q2099,"1,2,3,4,5,6,7",Merge Q2099,ID0753,"1, 3, 4, 5, 6, 7",medxpert,7.0,6.0
Merge Q210,"1,2,3,4,5,6,7,8,9",Merge Q210,ID1171,"1, 2, 4, 6, 7, 8, 9",jama,9.0,7.0
Merge Q211,"1,2,3,4,5,6,7,9,10,11,12,14,15",Merge Q211,ID1214,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15",jama,15.0,14.0
Merge Q2114,"1,2,3,4,5,6,7,8",Merge Q2114,ID1449,"1, 2, 4, 6",medxpert,8.0,4.0
Merge Q2115,"1,2,3,4,5,6,7,8",Merge Q2115,ID1913,"1, 3, 4, 6, 7",medxpert,8.0,5.0
Merge Q2116,"1,2,3,4,5",Merge Q2116,ID0304,"1, 2, 3, 5",medxpert,5.0,4.0
Merge Q2119,"1,2,3,4",Merge Q2119,ID1504,"1, 3, 4",medxpert,4.0,3.0
