row_index,GPT4o_answer,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21
522,E,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
523,D,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,Irrelevant,High Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,
524,B,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,
525,D,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,,
526,A,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,
527,B,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
528,C,Irrelevant,Low Relevance,Irrelevant,Irrelevant,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,
529,C,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
530,D,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
531,B,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,Irrelevant,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,
532,C,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
533,B,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,
534,C,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
535,,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
536,A,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
537,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,
538,C,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,
539,B,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,
541,D,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
542,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
543,D,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,
544,,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
545,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,Irrelevant,Irrelevant,Low Relevance,Irrelevant,,,,,,,,,,,
546,D,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
547,,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
548,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
549,,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
550,C,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,
551,D,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
552,D,High Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,,,,
553,A,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,
555,C,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
556,,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
557,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
558,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,
559,,Low Relevance,,,,,,,,,,,,,,,,,,,,
560,A,High Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,
561,,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,
562,D,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,,,
563,D,High Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,
564,C,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,
565,B,Low Relevance,Irrelevant,Low Relevance,High Relevance,Irrelevant,Irrelevant,,,,,,,,,,,,,,,
566,D,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
567,B,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
568,D,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
569,A,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,High Relevance,,,,,,,,,
570,,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
571,,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,
572,,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
573,C,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
574,C,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,
575,C,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Low Relevance,Low Relevance,,,,,,,,,,,,,
576,C,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Irrelevant,,,,,,,,,,
577,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
578,,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
579,B,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
580,,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
581,,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,,,
582,,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
583,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
584,C,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
585,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,
586,E,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
587,E,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
588,C,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,Low Relevance,High Relevance,,,,,,,,,
589,D,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,
590,,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Irrelevant,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,
592,,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
593,,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,
594,,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,,,,,,,,,,,,
595,A,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
596,,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,,
597,C,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
598,C,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
599,C,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,,,,,,,,,,,,,
600,D,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,,
601,D,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,
602,C,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,,
603,C,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,
604,,Low Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Low Relevance,Low Relevance,,,,,,,,,,,,,,
605,,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,
606,A,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,
607,,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
608,D,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,Low Relevance,Low Relevance,,,,,,,,,,,,
609,,Low Relevance,Irrelevant,Low Relevance,,,,,,,,,,,,,,,,,,
610,A,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
611,C,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
612,C,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,
613,E,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,
614,,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
615,,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
616,D,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
617,A,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
618,C,Low Relevance,High Relevance,High Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,
619,D,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
620,C,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
621,D,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,
622,A,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,
623,C,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
624,,Low Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
625,,High Relevance,High Relevance,Irrelevant,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,
626,,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,High Relevance,,,,
627,D,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
628,A,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,,,,,,,,,,,,,
629,,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
630,A,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,
631,,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
632,B,Low Relevance,,,,,,,,,,,,,,,,,,,,
633,B,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
634,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,
635,C,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,
636,,High Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,
637,,Low Relevance,Irrelevant,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,
638,B,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
639,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
640,,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
641,C,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,
642,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
643,,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,
644,D,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
645,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
646,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,
647,A,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,
648,B,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
649,D,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
650,,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
651,A,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,,
652,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
653,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,
654,D,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
655,A,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,,,,,,
656,D,Irrelevant,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
657,,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,,,
658,B,High Relevance,High Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,
660,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,
661,A,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
662,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
663,B,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,
664,C,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,,
665,,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
666,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
667,,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
668,B,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,
669,B,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,
670,,,,,,,,,,,,,,,,,,,,,,
671,,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
672,B,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,
673,A,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,,,,,,,,,,,,,,
674,A,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
675,D,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
676,,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
677,C,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
678,D,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,
679,,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
680,E,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
681,C,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
682,D,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,
683,,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
684,,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
685,,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
686,C,Irrelevant,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
687,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
688,,High Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,
689,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
690,D,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,
691,A,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,
692,D,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
693,C,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
694,D,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
695,,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
696,D,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
697,,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,
698,C,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,
699,D,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,
700,,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
701,D,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,,,
702,B,High Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,,,
703,,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
704,B,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,,,,,,,,,,,,
705,,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
706,D,Irrelevant,Low Relevance,High Relevance,Irrelevant,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,
707,A,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
708,B,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,
709,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,,,,,,,,,,,,
710,B,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Irrelevant,Irrelevant,,,,,,,,,,,,,
711,A,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,,
712,B,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,
713,C,Low Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,
714,,,,,,,,,,,,,,,,,,,,,,
715,D,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,
716,,Irrelevant,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,,,
717,B,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
718,C,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,
719,D,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
720,A,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,
721,E,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,,,,,,,,
723,B,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
724,,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,,
726,,,,,,,,,,,,,,,,,,,,,,
727,C,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
728,C,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
729,C,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,
730,C,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,
731,C,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
732,D,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
733,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,
734,B,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
735,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,
736,,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
737,C,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
738,C,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,
739,D,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,
740,D,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,
741,,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
742,B,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,
