Origin,data_source_corr,q1_majority,Correct answer,matches_correct
ID0939,jama,a,A,True
ID0940,mmlu,d,,False
ID0941,medxpert,c,E,False
ID0942,medxpert,g,H,False
ID0943,medbullets,a,,False
ID0944,mmlu,b,B,True
ID0945,mmlu,c,,False
ID0946,medxpert,b,,False
ID0947,medxpert,h,,False
ID0948,medxpert,f,F,True
ID0949,medbullets,c,C,True
ID0950,medxpert,e,,False
ID0951,mmlu,b,B,True
ID0952,jama,d,,False
ID0953,mmlu,d,D,True
ID0954,jama,b,B,True
ID0955,medxpert,d,,False
ID0956,medxpert,c,,False
ID0957,medxpert,j,J,True
ID0958,jama,b,,False
ID0959,jama,d,,False
ID0960,medxpert,h,,False
ID0961,jama,a,A,True
ID0962,jama,c,A,False
ID0963,mmlu,d,D,True
ID0964,jama,b,,False
ID0965,medxpert,f,F,True
ID0966,medxpert,d,,False
ID0967,medbullets,b,B,True
ID0968,jama,a,C,False
ID0969,jama,c,C,True
ID0970,medbullets,b,B,True
ID0971,medbullets,a,,False
ID0972,medxpert,b,B,True
ID0973,jama,d,D,True
ID0974,medbullets,c,D,False
ID0975,medxpert,d,,False
ID0976,jama,a,A,True
ID0977,jama,c,B,False
ID0978,medxpert,c,,False
ID0979,medxpert,b,B,True
ID0980,mmlu,b,,False
ID0981,jama,c,C,True
ID0982,jama,c,C,True
ID0983,medxpert,h,,False
ID0984,jama,a,,False
ID0985,jama,a,,False
ID0986,jama,a,,False
ID0987,medbullets,a,A,True
ID0988,medxpert,g,,False
ID0989,mmlu,d,,False
ID0990,jama,d,D,True
ID0991,jama,b,C,False
ID0992,medxpert,b,B,True
ID0993,jama,c,C,True
ID0994,medxpert,a,C,False
ID0995,medxpert,a,,False
ID0996,jama,c,C,True
ID0997,medxpert,c,,False
ID0998,jama,b,B,True
ID0999,mmlu,d,D,True
ID1000,jama,b,,False
ID1001,jama,c,C,True
ID1002,jama,c,C,True
ID1003,medbullets,c,,False
ID1004,medbullets,a,,False
ID1005,jama,c,C,True
ID1006,jama,c,B,False
ID1007,medxpert,j,,False
ID1008,mmlu,d,,False
ID1009,medxpert,d,D,True
ID1010,medbullets,b,,False
ID1011,jama,a,D,False
ID1012,medxpert,f,,False
ID1013,mmlu,d,D,True
ID1014,jama,b,B,True
ID1015,jama,d,D,True
ID1016,jama,a,D,False
ID1017,jama,d,D,True
ID1018,medxpert,g,,False
ID1019,jama,a,D,False
ID1020,jama,a,C,False
ID1021,jama,a,A,True
ID1022,jama,d,D,True
ID1023,jama,b,,False
ID1024,medbullets,d,D,True
ID1025,mmlu,a,A,True
ID1026,medxpert,d,B,False
ID1027,medxpert,i,,False
ID1028,medbullets,d,D,True
ID1029,medxpert,c,G,False
ID1030,medxpert,a,,False
ID1031,medxpert,g,G,True
ID1032,jama,b,A,False
ID1033,mmlu,c,,False
ID1034,jama,a,,False
ID1035,jama,c,C,True
ID1036,medxpert,c,,False
ID1037,jama,b,B,True
ID1038,jama,b,D,False
ID1039,medxpert,b,,False
ID1040,jama,d,D,True
ID1041,mmlu,c,,False
ID1042,mmlu,d,,False
ID1043,jama,a,,False
ID1044,mmlu,c,C,True
ID1045,medxpert,j,,False
ID1046,medxpert,g,,False
ID1047,jama,d,B,False
ID1048,jama,b,B,True
ID1049,jama,d,D,True
ID1050,jama,d,,False
ID1051,medbullets,d,A,False
ID1052,medxpert,g,,False
ID1053,jama,d,,False
ID1054,medxpert,e,,False
ID1055,medxpert,e,E,True
ID1056,medxpert,a,,False
ID1057,medxpert,g,,False
ID1058,medxpert,d,D,True
ID1059,mmlu,d,C,False
ID1060,jama,a,C,False
ID1061,medxpert,j,,False
ID1062,medxpert,j,E,False
ID1063,mmlu,b,B,True
ID1064,mmlu,a,A,True
ID1065,medxpert,g,G,True
ID1066,medxpert,g,B,False
ID1067,medxpert,g,G,True
ID1068,jama,a,C,False
ID1069,jama,b,,False
ID1070,jama,b,B,True
ID1071,jama,b,B,True
ID1072,medxpert,h,A,False
ID1073,jama,d,D,True
ID1074,medxpert,d,D,True
ID1075,jama,c,C,True
ID1076,jama,c,B,False
ID1077,jama,d,D,True
ID1078,jama,c,,False
ID1079,jama,c,C,True
ID1080,jama,b,B,True
ID1081,medbullets,d,D,True
ID1082,mmlu,b,B,True
ID1083,jama,d,,False
ID1084,jama,d,D,True
ID1085,medxpert,d,D,True
ID1086,jama,b,,False
ID1087,jama,b,B,True
ID1088,mmlu,b,B,True
ID1089,jama,b,B,True
ID1090,jama,d,D,True
ID1091,medxpert,a,,False
ID1092,mmlu,a,,False
ID1093,medbullets,b,C,False
ID1094,medxpert,g,,False
ID1095,medxpert,i,,False
ID1096,medxpert,c,,False
ID1097,jama,b,,False
ID1098,jama,a,A,True
ID1099,jama,a,A,True
ID1100,medxpert,h,,False
ID1101,jama,b,C,False
ID1102,medxpert,b,B,True
ID1103,jama,d,,False
ID1104,medxpert,j,,False
ID1105,mmlu,d,,False
ID1106,medxpert,e,,False
ID1107,jama,a,,False
ID1108,medxpert,e,E,True
ID1109,jama,c,,False
ID1110,jama,a,A,True
ID1111,jama,d,,False
ID1112,mmlu,a,A,True
ID1113,jama,c,C,True
ID1114,mmlu,c,C,True
ID1115,mmlu,d,,False
ID1116,medbullets,b,B,True
ID1117,medxpert,c,C,True
ID1118,jama,a,B,False
ID1119,jama,b,B,True
ID1120,jama,d,,False
ID1121,jama,c,C,True
ID1122,jama,b,,False
ID1123,jama,d,D,True
ID1124,jama,c,,False
ID1125,medxpert,a,A,True
ID1126,medxpert,f,,False
ID1127,jama,b,C,False
ID1128,jama,b,,False
ID1129,medbullets,c,C,True
ID1130,medbullets,a,A,True
ID1131,jama,d,D,True
ID1132,jama,d,D,True
ID1133,medxpert,c,,False
ID1134,medxpert,a,,False
ID1135,jama,b,B,True
ID1136,medxpert,d,,False
ID1137,medbullets,b,B,True
ID1138,jama,c,A,False
ID1139,jama,b,B,True
ID1140,jama,c,C,True
ID1141,medxpert,f,G,False
ID1142,medbullets,d,D,True
ID1143,mmlu,d,,False
ID1144,jama,c,,False
ID1145,medxpert,i,,False
ID1146,jama,b,B,True
ID1147,medxpert,e,E,True
ID1148,jama,b,B,True
ID1149,jama,d,D,True
ID1150,jama,a,A,True
ID1151,medxpert,b,C,False
ID1152,mmlu,c,C,True
ID1153,medbullets,a,A,True
ID1154,medxpert,d,D,True
ID1155,medxpert,i,C,False
ID1156,medxpert,h,,False
ID1157,medbullets,c,C,True
ID1158,medbullets,c,C,True
ID1159,jama,c,,False
ID1160,jama,a,B,False
ID1161,medxpert,g,J,False
ID1162,jama,b,B,True
ID1163,mmlu,d,D,True
ID1164,jama,b,B,True
ID1165,medxpert,i,,False
ID1166,jama,b,B,True
ID1167,jama,a,A,True
ID1168,medxpert,a,,False
ID1169,medxpert,g,,False
ID1170,jama,c,C,True
ID1171,jama,b,B,True
ID1172,medxpert,f,F,True
ID1173,medxpert,a,,False
ID1174,jama,d,C,False
ID1175,jama,a,A,True
ID1176,medxpert,b,B,True
ID1177,medxpert,h,,False
ID1178,jama,a,C,False
ID1179,medxpert,i,C,False
ID1180,mmlu,d,D,True
ID1181,mmlu,d,D,True
ID1182,mmlu,b,B,True
ID1183,jama,c,C,True
ID1184,medxpert,c,C,True
ID1185,jama,c,C,True
ID1186,medxpert,f,,False
ID1187,mmlu,d,D,True
ID1188,medbullets,b,,False
ID1189,medxpert,b,A,False
ID1190,medxpert,c,H,False
ID1191,medxpert,g,,False
ID1192,medxpert,j,,False
ID1193,jama,b,B,True
ID1194,medxpert,d,H,False
ID1195,medxpert,f,,False
ID1196,medxpert,i,,False
ID1197,jama,c,C,True
ID1198,jama,c,C,True
ID1199,medxpert,a,A,True
ID1200,medbullets,c,C,True
ID1201,jama,c,C,True
ID1202,medbullets,a,A,True
ID1203,medxpert,i,,False
ID1204,jama,c,C,True
ID1205,jama,b,,False
ID1206,mmlu,b,B,True
ID1207,jama,a,D,False
ID1208,medxpert,d,B,False
ID1209,mmlu,d,D,True
ID1210,medxpert,d,,False
ID1211,medxpert,d,,False
ID1212,medxpert,j,I,False
ID1213,medxpert,f,,False
ID1214,jama,c,C,True
ID1215,jama,b,B,True
ID1216,jama,b,B,True
ID1217,jama,d,D,True
ID1218,medbullets,a,A,True
ID1219,jama,b,C,False
ID1220,medbullets,d,,False
ID1221,medbullets,d,D,True
ID1222,medxpert,d,,False
ID1223,mmlu,d,D,True
ID1224,jama,b,B,True
ID1225,medxpert,a,,False
ID1226,medxpert,j,G,False
ID1227,mmlu,c,C,True
ID1228,medbullets,b,B,True
ID1229,jama,a,B,False
ID1230,jama,a,B,False
ID1231,medxpert,c,,False
ID1232,medbullets,c,C,True
ID1233,jama,c,C,True
ID1234,jama,b,B,True
ID1235,mmlu,d,,False
ID1236,jama,a,D,False
ID1237,medxpert,b,,False
ID1238,medxpert,a,,False
ID1239,mmlu,d,D,True
ID1240,mmlu,a,A,True
ID1241,jama,b,,False
ID1242,jama,c,C,True
ID1243,medxpert,g,,False
ID1244,jama,c,C,True
ID1245,medbullets,b,B,True
ID1246,medbullets,a,A,True
ID1247,jama,b,B,True
ID1248,mmlu,d,D,True
ID1249,medbullets,a,A,True
ID1250,medxpert,d,,False
ID1251,medxpert,c,C,True
ID1252,medxpert,g,G,True
ID1253,medxpert,g,,False
ID1254,medxpert,e,E,True
ID1255,medxpert,h,I,False
ID1256,medxpert,a,D,False
ID1257,medxpert,a,,False
ID1258,mmlu,d,D,True
ID1259,medbullets,d,,False
ID1260,jama,c,C,True
ID1261,mmlu,b,B,True
ID1262,medbullets,b,B,True
ID1263,medxpert,a,,False
ID1264,jama,c,C,True
ID1265,medxpert,b,,False
ID1266,jama,c,C,True
ID1267,jama,a,A,True
ID1268,mmlu,d,D,True
ID1269,medbullets,c,C,True
ID1270,medxpert,j,J,True
ID1271,medbullets,d,D,True
ID1272,mmlu,a,A,True
ID1273,jama,c,C,True
ID1274,medxpert,f,,False
ID1275,jama,a,B,False
ID1276,jama,c,C,True
ID1277,mmlu,d,D,True
ID1278,medbullets,c,C,True
ID1279,medbullets,c,C,True
ID1280,medxpert,b,B,True
ID1281,jama,b,B,True
ID1282,medxpert,i,,False
ID1283,medxpert,j,,False
ID1284,medxpert,h,H,True
ID1285,jama,b,B,True
ID1286,jama,b,B,True
ID1287,mmlu,d,D,True
ID1288,jama,c,C,True
ID1289,jama,c,C,True
ID1290,jama,a,A,True
ID1291,medxpert,j,H,False
ID1292,mmlu,d,,False
ID1293,medbullets,d,,False
ID1294,medxpert,e,B,False
ID1295,medxpert,a,,False
ID1296,mmlu,b,B,True
ID1297,mmlu,b,B,True
ID1298,medxpert,h,H,True
ID1299,medxpert,e,E,True
ID1300,jama,a,,False
ID1301,jama,b,B,True
ID1302,mmlu,d,D,True
ID1303,jama,a,C,False
ID1304,mmlu,a,,False
ID1305,medxpert,a,,False
ID1306,medxpert,b,,False
ID1307,medbullets,d,D,True
ID1308,jama,d,B,False
ID1309,medxpert,e,D,False
ID1310,mmlu,d,D,True
ID1311,medxpert,i,B,False
ID1312,medxpert,h,F,False
ID1313,medbullets,d,C,False
ID1314,jama,b,B,True
ID1315,medbullets,d,D,True
ID1316,mmlu,c,C,True
ID1317,mmlu,d,,False
ID1318,jama,c,C,True
ID1319,medbullets,a,,False
ID1320,jama,c,C,True
ID1321,jama,c,C,True
ID1322,jama,a,,False
ID1323,medxpert,h,,False
ID1324,medxpert,d,F,False
ID1325,mmlu,d,,False
ID1326,medxpert,h,,False
ID1327,medxpert,e,,False
ID1328,medxpert,h,H,True
ID1329,medbullets,d,D,True
ID1330,mmlu,b,B,True
ID1331,mmlu,b,B,True
ID1332,jama,b,B,True
ID1333,medxpert,c,C,True
ID1334,jama,c,C,True
ID1335,mmlu,d,D,True
ID1336,mmlu,c,C,True
ID1337,medbullets,a,A,True
ID1338,medbullets,d,D,True
ID1339,mmlu,d,D,True
ID1340,medxpert,c,C,True
ID1341,medxpert,i,,False
ID1342,medxpert,f,,False
ID1343,medbullets,b,D,False
ID1344,medxpert,g,,False
ID1345,medbullets,c,C,True
ID1346,jama,c,C,True
ID1347,jama,a,A,True
ID1348,jama,c,C,True
ID1349,jama,d,D,True
ID1350,jama,a,A,True
ID1351,medxpert,a,,False
ID1352,jama,a,D,False
ID1353,jama,c,C,True
ID1354,jama,b,B,True
ID1355,mmlu,a,A,True
ID1356,medxpert,c,F,False
ID1357,medxpert,e,B,False
ID1358,medxpert,d,,False
ID1359,jama,a,A,True
ID1360,jama,d,D,True
ID1361,medxpert,a,,False
ID1362,medbullets,b,B,True
ID1363,medxpert,b,,False
ID1364,medxpert,g,,False
ID1365,jama,a,,False
ID1366,jama,b,B,True
ID1367,medxpert,d,,False
ID1368,jama,d,D,True
ID1369,medxpert,c,C,True
ID1370,medxpert,d,,False
ID1371,medbullets,a,A,True
ID1372,medxpert,d,,False
ID1373,jama,c,C,True
ID1374,jama,a,A,True
ID1375,medbullets,b,,False
ID1376,jama,a,A,True
ID1377,jama,c,C,True
ID1378,medbullets,b,B,True
ID1379,medxpert,c,,False
ID1380,medxpert,a,A,True
ID1381,jama,a,B,False
ID1382,jama,c,C,True
ID1383,mmlu,d,A,False
ID1384,medbullets,a,A,True
ID1385,medxpert,c,A,False
ID1386,jama,a,,False
ID1387,jama,c,C,True
ID1388,jama,c,C,True
ID1389,medxpert,e,E,True
ID1390,medbullets,d,,False
ID1391,jama,d,D,True
ID1392,medxpert,g,J,False
ID1393,jama,c,,False
ID1394,medbullets,c,C,True
ID1395,medxpert,j,J,True
ID1396,medxpert,j,J,True
ID1397,medbullets,b,C,False
ID1398,jama,c,C,True
ID1399,medxpert,e,E,True
ID1400,medxpert,a,,False
ID1401,jama,c,C,True
ID1402,jama,c,C,True
ID1403,jama,b,B,True
ID1404,mmlu,d,,False
ID1405,mmlu,b,B,True
ID1406,medxpert,j,,False
ID1407,jama,b,,False
ID1408,medxpert,e,,False
ID1409,medxpert,g,G,True
ID1410,jama,c,,False
ID1411,medbullets,b,B,True
ID1412,jama,a,,False
ID1413,medbullets,b,C,False
ID1414,medxpert,i,B,False
ID1415,jama,d,,False
ID1416,jama,b,B,True
ID1417,medxpert,c,,False
ID1418,mmlu,d,D,True
ID1419,jama,b,B,True
ID1420,medxpert,g,,False
ID1421,mmlu,d,D,True
ID1422,medbullets,b,C,False
ID1423,medxpert,b,F,False
ID1424,medbullets,c,,False
ID1425,mmlu,d,D,True
ID1426,mmlu,d,D,True
ID1427,medxpert,b,,False
ID1428,medxpert,a,F,False
ID1429,jama,c,C,True
ID1430,jama,c,C,True
ID1431,jama,a,A,True
ID1432,medxpert,e,E,True
ID1433,medxpert,c,,False
ID1434,medxpert,d,D,True
ID1435,jama,c,,False
ID1436,jama,c,,False
ID1437,jama,d,,False
ID1438,jama,d,D,True
ID1439,medbullets,b,B,True
ID1440,mmlu,c,,False
ID1441,medxpert,d,,False
ID1442,mmlu,d,D,True
ID1443,medxpert,g,,False
ID1444,jama,d,,False
ID1445,mmlu,a,A,True
ID1446,mmlu,c,C,True
ID1447,mmlu,d,,False
ID1448,medxpert,b,B,True
ID1449,medxpert,h,C,False
ID1450,jama,d,C,False
ID1451,medxpert,d,,False
ID1452,medbullets,d,D,True
ID1453,jama,c,D,False
ID1454,mmlu,b,B,True
ID1455,medxpert,e,,False
ID1456,medxpert,b,,False
ID1457,medbullets,a,A,True
ID1458,jama,c,C,True
ID1459,jama,a,A,True
ID1460,mmlu,d,D,True
ID1461,medxpert,a,,False
ID1462,medxpert,a,A,True
ID1463,medxpert,g,G,True
ID1464,jama,c,A,False
ID1465,jama,c,,False
ID1466,mmlu,d,D,True
ID1467,mmlu,d,D,True
ID1468,medbullets,d,A,False
ID1469,jama,c,C,True
ID1470,jama,b,,False
ID1471,medxpert,a,,False
ID1472,medxpert,h,,False
ID1473,medxpert,h,,False
ID1474,mmlu,b,B,True
ID1475,medbullets,c,C,True
ID1476,jama,a,C,False
ID1477,jama,b,B,True
ID1478,medxpert,c,,False
ID1479,mmlu,d,D,True
ID1480,medbullets,d,D,True
ID1481,jama,a,C,False
ID1482,jama,d,,False
ID1483,medxpert,h,F,False
ID1484,jama,b,,False
ID1485,jama,a,C,False
ID1486,jama,b,B,True
ID1487,jama,b,,False
ID1488,medbullets,d,D,True
ID1489,medbullets,a,A,True
ID1490,medbullets,a,A,True
ID1491,jama,b,B,True
ID1492,medxpert,f,F,True
ID1493,medxpert,i,,False
ID1494,medbullets,b,B,True
ID1495,medbullets,b,B,True
ID1496,medbullets,a,A,True
ID1497,mmlu,b,,False
ID1498,medxpert,i,,False
ID1499,jama,c,,False
ID1500,mmlu,c,C,True
ID1501,medxpert,e,J,False
ID1502,jama,a,,False
ID1503,medxpert,i,,False
ID1504,medxpert,d,D,True
ID1505,jama,d,D,True
ID1506,mmlu,d,D,True
ID1507,mmlu,c,C,True
ID1508,medbullets,d,D,True
ID1509,medxpert,d,,False
ID1510,jama,b,D,False
ID1511,medxpert,c,,False
ID1512,medxpert,h,,False
ID1513,jama,d,D,True
ID1514,jama,a,A,True
ID1515,mmlu,a,A,True
ID1516,mmlu,d,,False
ID1517,jama,c,C,True
ID1518,jama,d,D,True
ID1519,medxpert,j,,False
ID1520,jama,a,A,True
ID1521,medbullets,b,,False
ID1522,medxpert,f,,False
ID1523,mmlu,d,,False
ID1524,mmlu,c,C,True
ID1525,jama,a,A,True
ID1526,medbullets,b,B,True
ID1527,jama,c,,False
ID1528,jama,b,,False
ID1529,jama,b,B,True
ID1530,jama,d,D,True
ID1531,jama,c,C,True
ID1532,jama,b,B,True
ID1533,jama,c,D,False
ID1534,medbullets,c,C,True
ID1535,medxpert,h,,False
ID1536,medbullets,a,A,True
ID1537,medxpert,g,,False
ID1538,jama,b,B,True
ID1539,medbullets,d,D,True
ID1540,jama,b,B,True
ID1541,medbullets,b,B,True
ID1542,medxpert,f,,False
ID1543,mmlu,d,D,True
ID1544,mmlu,c,C,True
ID1545,jama,c,C,True
ID1546,medxpert,g,,False
ID1547,mmlu,c,,False
ID1548,medbullets,d,,False
ID1549,medxpert,a,,False
ID1550,jama,d,B,False
ID1551,jama,c,C,True
ID1552,medbullets,d,D,True
ID1553,medbullets,a,A,True
ID1554,medxpert,c,,False
ID1555,jama,c,C,True
ID1556,jama,d,,False
ID1557,medxpert,i,I,True
ID1558,jama,a,A,True
ID1559,medxpert,j,J,True
ID1560,jama,d,D,True
ID1561,jama,a,A,True
ID1562,medxpert,c,,False
ID1563,medxpert,c,,False
ID1564,medxpert,a,,False
ID1565,medbullets,b,B,True
ID1566,medbullets,b,B,True
ID1567,medxpert,e,E,True
ID1568,jama,b,,False
ID1569,mmlu,d,D,True
ID1570,medbullets,a,A,True
ID1571,medxpert,b,B,True
ID1572,medxpert,f,F,True
ID1573,jama,c,C,True
ID1574,jama,c,C,True
ID1575,jama,c,C,True
ID1576,jama,c,,False
ID1577,medxpert,h,,False
ID1578,medxpert,h,H,True
ID1579,medxpert,j,,False
ID1580,medxpert,j,C,False
ID1581,jama,d,D,True
ID1582,medxpert,c,F,False
ID1583,mmlu,a,A,True
ID1584,jama,a,A,True
ID1585,jama,c,C,True
ID1586,mmlu,d,D,True
ID1587,mmlu,b,B,True
ID1588,jama,d,D,True
ID1589,medxpert,d,,False
ID1590,mmlu,a,A,True
ID1591,medxpert,h,I,False
ID1592,jama,c,,False
ID1593,medxpert,e,J,False
ID1594,jama,b,B,True
ID1595,medxpert,d,,False
ID1596,mmlu,d,D,True
ID1597,medxpert,j,,False
ID1598,medxpert,e,,False
ID1599,medbullets,b,B,True
ID1600,medxpert,b,,False
ID1601,jama,c,C,True
ID1602,medbullets,c,A,False
ID1603,medxpert,e,,False
ID1604,jama,b,,False
ID1605,jama,b,C,False
ID1606,medxpert,e,,False
ID1607,jama,c,C,True
ID1608,medxpert,a,,False
ID1609,medxpert,b,,False
ID1610,jama,b,B,True
ID1611,jama,a,,False
ID1612,jama,c,C,True
ID1613,mmlu,d,D,True
ID1614,medxpert,i,I,True
ID1615,jama,d,,False
ID1616,medxpert,a,,False
ID1617,medxpert,d,D,True
ID1618,jama,a,C,False
ID1619,medxpert,i,,False
ID1620,jama,a,,False
ID1621,medxpert,f,,False
ID1622,mmlu,d,D,True
ID1623,mmlu,a,,False
ID1624,medxpert,j,,False
ID1625,medxpert,h,H,True
ID1626,medxpert,i,,False
ID1627,medxpert,f,,False
ID1628,medxpert,d,,False
ID1629,medbullets,c,C,True
ID1630,medxpert,g,,False
ID1631,jama,d,,False
ID1632,medbullets,c,C,True
ID1633,mmlu,d,D,True
ID1634,medbullets,a,A,True
ID1635,medxpert,h,,False
ID1636,medbullets,b,B,True
ID1637,medbullets,d,D,True
ID1638,jama,d,D,True
ID1639,medxpert,h,,False
ID1640,medxpert,f,E,False
ID1641,jama,d,D,True
ID1642,mmlu,d,,False
ID1643,medxpert,j,,False
ID1644,medxpert,b,,False
ID1645,jama,d,D,True
ID1646,medxpert,c,C,True
ID1647,medxpert,e,,False
ID1648,jama,c,,False
ID1649,medxpert,c,,False
ID1650,mmlu,b,B,True
ID1651,jama,b,B,True
ID1652,jama,a,A,True
ID1653,jama,b,B,True
ID1654,medxpert,j,J,True
ID1655,jama,b,B,True
ID1656,medxpert,e,E,True
ID1657,mmlu,c,,False
ID1658,medxpert,h,,False
ID1659,jama,b,B,True
ID1660,mmlu,c,C,True
ID1661,medxpert,i,,False
ID1662,mmlu,d,D,True
ID1663,jama,b,B,True
ID1664,jama,d,D,True
ID1665,medxpert,a,,False
ID1666,medbullets,d,D,True
ID1667,medxpert,f,A,False
ID1668,medbullets,a,A,True
ID1669,medxpert,a,,False
ID1670,medxpert,a,,False
ID1671,jama,b,B,True
ID1672,jama,d,D,True
ID1673,medxpert,b,B,True
ID1674,jama,c,C,True
ID1675,medxpert,i,,False
ID1676,medxpert,g,G,True
ID1677,medxpert,g,,False
ID1678,jama,a,C,False
ID1679,jama,d,D,True
ID1680,jama,c,C,True
ID1681,medxpert,c,,False
ID1682,medxpert,g,,False
ID1683,jama,b,B,True
ID1684,medxpert,g,G,True
ID1685,medbullets,c,B,False
ID1686,jama,d,,False
ID1687,medxpert,c,E,False
ID1688,mmlu,d,D,True
ID1689,jama,b,B,True
ID1690,medxpert,f,,False
ID1691,medxpert,f,F,True
ID1692,jama,c,C,True
ID1693,medbullets,c,C,True
ID1694,medxpert,j,J,True
ID1695,jama,b,B,True
ID1696,medxpert,j,J,True
ID1697,jama,b,B,True
ID1698,medxpert,b,B,True
ID1699,jama,d,D,True
ID1700,mmlu,c,C,True
ID1701,mmlu,b,B,True
ID1702,jama,c,C,True
ID1703,jama,c,,False
ID1704,medbullets,c,C,True
ID1705,medxpert,c,,False
ID1706,medbullets,c,C,True
ID1707,jama,a,,False
ID1708,medxpert,c,,False
ID1709,medbullets,a,,False
ID1710,jama,b,B,True
ID1711,jama,c,C,True
ID1712,medxpert,b,C,False
ID1713,jama,c,C,True
ID1714,jama,b,B,True
ID1715,mmlu,d,D,True
ID1716,jama,c,D,False
ID1717,medxpert,i,A,False
ID1718,medbullets,c,C,True
ID1719,jama,c,,False
ID1720,medxpert,j,,False
ID1721,medxpert,f,,False
ID1722,medxpert,a,J,False
ID1723,medxpert,e,,False
ID1724,medxpert,g,A,False
ID1725,mmlu,d,D,True
ID1726,medxpert,j,,False
ID1727,medxpert,c,C,True
ID1728,jama,d,C,False
ID1729,medxpert,d,,False
ID1730,medbullets,b,,False
ID1731,medxpert,c,,False
ID1732,jama,d,D,True
ID1733,jama,a,,False
ID1734,jama,d,D,True
ID1735,jama,b,,False
ID1736,jama,d,,False
ID1737,medxpert,g,,False
ID1738,medbullets,a,A,True
ID1739,medxpert,d,,False
ID1740,medxpert,a,,False
ID1741,medxpert,f,F,True
ID1742,medxpert,c,C,True
ID1743,medxpert,a,A,True
ID1744,medxpert,a,A,True
ID1745,medxpert,e,,False
ID1746,medxpert,e,E,True
ID1747,jama,a,C,False
ID1748,medxpert,c,,False
ID1749,mmlu,d,D,True
ID1750,medxpert,h,I,False
ID1751,medxpert,h,H,True
ID1752,medxpert,d,,False
ID1753,medxpert,c,,False
ID1754,medxpert,j,,False
ID1755,medxpert,e,B,False
ID1756,jama,b,B,True
ID1757,medxpert,d,J,False
ID1758,medxpert,h,F,False
ID1759,medxpert,f,,False
ID1760,medxpert,h,,False
ID1761,jama,b,D,False
ID1762,jama,b,B,True
ID1763,medxpert,c,,False
ID1764,medxpert,c,,False
ID1765,jama,d,C,False
ID1766,medxpert,b,D,False
ID1767,medxpert,f,F,True
ID1768,medbullets,c,C,True
ID1769,jama,a,C,False
ID1770,jama,c,,False
ID1771,medxpert,g,,False
ID1772,medxpert,e,E,True
ID1773,medxpert,b,B,True
ID1774,mmlu,b,B,True
ID1775,medxpert,c,G,False
ID1776,medxpert,b,B,True
ID1777,medxpert,e,E,True
ID1778,medxpert,i,I,True
ID1779,medxpert,d,D,True
ID1780,medxpert,f,,False
ID1781,medxpert,d,,False
ID1782,medxpert,b,,False
ID1783,medxpert,j,J,True
ID1784,medxpert,i,,False
ID1785,medxpert,f,,False
ID1786,medbullets,d,D,True
ID1787,jama,a,A,True
ID1788,mmlu,d,D,True
ID1789,medxpert,f,F,True
ID1790,jama,b,B,True
ID1791,jama,c,C,True
ID1792,jama,c,C,True
ID1793,mmlu,b,B,True
ID1794,medxpert,b,,False
ID1795,medxpert,a,A,True
ID1796,mmlu,b,,False
ID1797,jama,b,B,True
ID1798,mmlu,a,A,True
ID1799,jama,d,D,True
ID1800,mmlu,a,A,True
ID1801,medxpert,a,,False
ID1802,jama,c,C,True
ID1803,medxpert,d,,False
ID1804,medxpert,a,,False
ID1805,jama,a,,False
ID1806,medxpert,a,,False
ID1807,jama,d,B,False
ID1808,mmlu,b,B,True
ID1809,jama,c,C,True
ID1810,medxpert,d,,False
ID1811,jama,c,C,True
ID1812,medbullets,c,C,True
ID1813,medxpert,f,,False
ID1814,medxpert,i,,False
ID1815,medxpert,d,,False
ID1816,medbullets,c,,False
ID1817,medxpert,c,C,True
ID1818,mmlu,b,B,True
ID1819,jama,a,C,False
ID1820,jama,b,B,True
ID1821,medbullets,b,D,False
ID1822,medbullets,b,B,True
ID1823,jama,b,B,True
ID1824,medbullets,d,D,True
ID1825,medxpert,h,H,True
ID1826,mmlu,a,A,True
ID1827,mmlu,d,D,True
ID1828,medxpert,h,,False
ID1829,jama,b,B,True
ID1830,medxpert,f,I,False
ID1831,jama,c,C,True
ID1832,medxpert,f,,False
ID1833,medbullets,a,A,True
ID1834,medxpert,e,E,True
ID1835,jama,b,B,True
ID1836,jama,c,C,True
ID1837,jama,c,C,True
ID1838,medbullets,b,B,True
ID1839,medxpert,h,,False
ID1840,medxpert,b,D,False
ID1841,jama,d,A,False
ID1842,jama,a,B,False
ID1843,mmlu,a,D,False
ID1844,mmlu,c,,False
ID1845,medbullets,a,A,True
ID1846,medbullets,b,B,True
ID1847,jama,c,C,True
ID1848,jama,b,B,True
ID1849,mmlu,b,B,True
ID1850,jama,a,C,False
ID1851,mmlu,d,D,True
ID1852,jama,c,C,True
ID1853,medxpert,f,,False
ID1854,medxpert,a,,False
ID1855,jama,b,C,False
ID1856,jama,c,C,True
ID1857,jama,c,,False
ID1858,medxpert,f,F,True
ID1859,jama,d,B,False
ID1860,jama,b,B,True
ID1861,medxpert,h,,False
ID1862,mmlu,d,D,True
ID1863,mmlu,b,B,True
ID1864,medxpert,g,,False
ID1865,jama,c,C,True
ID1866,mmlu,a,A,True
ID1867,medxpert,e,,False
ID1868,jama,a,A,True
ID1869,medxpert,d,,False
ID1870,jama,b,B,True
ID1871,medxpert,j,D,False
ID1872,jama,a,,False
ID1873,mmlu,d,D,True
ID1874,mmlu,a,A,True
