Origin,data_source_corr_x,q1_majority,Correct answer,matches_correct
ID1947,medxpert,d,D,True
ID1948,medxpert,h,H,True
ID1955,medbullets,c,C,True
ID1956,jama,c,C,True
ID1957,medxpert,e,E,True
ID1959,jama,d,D,True
ID1963,medbullets,b,B,True
ID1966,jama,a,A,True
ID1969,mmlu,a,A,True
ID1970,jama,b,B,True
ID1972,mmlu,b,B,True
ID1974,medbullets,c,C,True
ID1975,medxpert,a,A,True
ID1976,medxpert,a,A,True
ID1979,medxpert,h,H,True
ID1980,medxpert,i,I,True
ID1981,jama,a,D,False
ID1983,medbullets,d,D,True
ID1984,mmlu,d,D,True
ID1986,jama,c,C,True
ID1989,mmlu,b,B,True
ID1993,mmlu,d,D,True
ID1995,mmlu,d,D,True
ID1996,mmlu,d,D,True
ID1997,medxpert,c,B,False
ID1999,medxpert,e,C,False
